"Icon","Title","Description","Description (Lv 1)","Description (Lv 2)","Description (Lv 3)","Description (Lv 4)","Description (Lv 5)","Description (Lv 6)","Description (Lv 7)","Other Info","Obtained From","Max Level","Ingredients"
"","Fortifying Pelt","","Increases attack and defense after fainting during a quest. (Can…","","","","","","","","Ajarakan Armor Sets Ajarakan Coil Waist Ajarakan Coil α Waist Ajarakan Greaves Legs Ajarakan Greaves α Legs Ajarakan Helm Head Ajarakan Helm α Head Ajarakan Mail Chest Ajarakan Mail α Chest Ajarakan Vambraces Arms Ajarakan Vambraces α Arms Ajarakan α Armor Sets Arkveld α Armor Sets Arkvulcan Coil α Waist Arkvulcan Greaves α Legs Arkvulcan Helm α Head Arkvulcan Mail α Chest Arkvulcan Vambraces α Arms Blango Coil α Waist Blango Greaves α Legs Blango Helm α Head Blango Mail α Chest Blango Vambraces α Arms Blango α Armor Sets Conga Armor Sets Conga Coil Waist Conga Coil α Waist Conga Greaves Legs Conga Greaves α Legs Conga Helm Head Conga Helm α Head Conga Mail Chest Conga Mail α Chest Conga Vambraces Arms Conga Vambraces α Arms Conga α Armor Sets Doshaguma Armor Sets Doshaguma Braces Arms Doshaguma Braces α Arms Doshaguma Coil Waist Doshaguma Coil α Waist Doshaguma Greaves Legs Doshaguma Greaves α Legs Doshaguma Helm Head Doshaguma Helm α Head Doshaguma Mail Chest Doshaguma Mail α Chest Doshaguma α Armor Sets Mimiphyta α Armor Sets Mimiphyta α Head","1",""
"","Fortune Hunter Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
,,,,,,,,,,,,,
"","Free Meal","","Activates 10% of the time.","Activates 25% of the time.","Activates 45% of the time.","","","","","","Battle Vambraces α Arms Battle α Armor Sets Conga Coil α Waist Conga Helm α Head Conga α Armor Sets Doshaguma Armor Sets Doshaguma Greaves Legs Doshaguma Greaves α Legs Doshaguma Greaves β Legs Doshaguma Helm Head Doshaguma Helm α Head Doshaguma Helm β Head Doshaguma Mail Chest Doshaguma α Armor Sets Doshaguma β Armor Sets Kunafa Cloak α Chest Kunafa α Armor Sets Light Eater's Charm I Level 1 Light Eater's Charm II Level 2 Light Eater's Charm III Level 3 Satiated Jewel [1] Armor Decorations","3",""
"","Fulgur Anjanath's Will","","Grants an additional Stamina Gauge.","Grants an additional long Stamina Gauge.","","","","","","","G. Fulgur Coil α Waist G. Fulgur Coil β Waist G. Fulgur Greaves α Legs G. Fulgur Greaves β Legs G. Fulgur Helm α Head G. Fulgur Helm β Head G. Fulgur Mail α Chest G. Fulgur Mail β Chest G. Fulgur Vambraces α Arms G. Fulgur Vambraces β Arms Guardian Fulgur α Armor Sets Guardian Fulgur β Armor Sets","2",""
"","Gatherer Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","Sometimes increases the number of resources per gather of bones,…","","","","","","","","","","Truffle Du Conga Ingredients"
"","Geologist","","One extra item when gathering from bonepiles.","Additionally adds one extra item when gathering special items.…","Additionally adds one extra item when gathering from mining outcrops.…","","","","","","Azuz Pants α Legs Azuz α Armor Sets Balahara Greaves α Legs Balahara Helm α Head Balahara Mail α Chest Balahara Mail β Chest Balahara α Armor Sets Balahara β Armor Sets Chainmail Armor Sets Chainmail Armor α Chest Chainmail Gloves Arms Chainmail Gloves α Arms Chainmail Headgear Head Chainmail Headgear α Head Chainmail Vest Chest Chainmail α Armor Sets Geology Charm I Level 1 Geology Charm II Level 2 Geology Charm III Level 3 Geology Jewel [1] Armor Decorations","3",""
"","Gore Magala's Tyranny","","Infects you with Frenzy when against large monsters.","Infects you with Frenzy and raises attack when against large…","","","","","","","Gore Coil α Waist Gore Coil β Waist Gore Greaves α Legs Gore Greaves β Legs Gore Helm α Head Gore Helm β Head Gore Mail α Chest Gore Mail β Chest Gore Vambraces α Arms Gore Vambraces β Arms Gore α Armor Sets Gore β Armor Sets","2",""
"","Gravios's Protection","","Reduces the damage you take by 5% when your health is full. …","Reduces the damage you take by 10% when your health is full.…","","","","","","","Gravios Coil α Waist Gravios Coil β Waist Gravios Greaves α Legs Gravios Greaves β Legs Gravios Helm α Head Gravios Helm β Head Gravios Mail α Chest Gravios Mail β Chest Gravios Vambraces α Arms Gravios Vambraces β Arms Gravios α Armor Sets Gravios β Armor Sets","2",""
"","Guard","","Slightly decreases the impact of attacks and reduces stamina…","Decreases the impact of attacks and reduces stamina depletion…","Greatly decreases the impact of attacks and reduces stamina depletion…","","","","","","A Abiding Gawain Charge Blade Arachnoscale I Charge Blade Arachnoscale II Charge Blade Arachnoscale III Charge Blade Arachnoscythe Charge Blade B Babel Spear Lance Bone Gunlance I Gunlance Bone Gunlance II Gunlance Bone Gunlance III Gunlance Bone Gunlance IV Gunlance Bone Lance I Lance Bone Lance II Lance Bone Lance III Lance Bone Lance IV Lance Bone Shooter I Heavy Bowgun Bone Shooter II Heavy Bowgun Bone Shooter III Heavy Bowgun Bone Shooter IV Heavy Bowgun Buster Blaster Heavy Bowgun C Chata Club I Sword and Shield Chata Club II Sword and Shield Chata Club III Sword and Shield Chata Club IV Sword and Shield Chata Strongarm I Charge Blade Chata Strongarm II Charge Blade Chata Strongarm III Charge Blade Chata Strongarm IV Charge Blade Cordayle's Revocation Sword and Shield F Falarmata-of-the-Waves Gunlance Firetrail Kaminet Lance Firetrail Quemador Gunlance G G. Abiding Gawain Charge Blade G. Guiding Artorius Sword and Shield G. Lawful Bors Gunlance G. Purifying Beaumains Lance G. Veldian Hasta I Gunlance G. Veldian Hasta II Gunlance G. Veldian Labrys I Charge Blade G. Veldian Labrys II Charge Blade G. Veldian Lancea I Lance G. Veldian Lancea II Lance G. Veldian Mucro I Sword and Shield G. Veldian Mucro II Sword and Shield Great Bone Gunlance Gunlance Guiding Artorius Sword and Shield H Hard Bone Lance Lance Heavy Shooter Heavy Bowgun I Immane Blade I Great Sword Immane Blade II Great Sword Immane Blade III Great Sword Immolator Blade Great Sword Indra Clairlance Lance Iron Beater I Sword and Shield Iron Beater II Sword and Shield Iron Beater III Sword and Shield Ironwall Jewel II [2] Weapon Decorations Ironwall Jewel III [3] Weapon Decorations Ironwall Jewel [1] Weapon Decorations J Jin Dhaklab I Sword and Shield Jin Dhaphal I Heavy Bowgun Jin Dhatop I Gunlance K Kuara Clairsword Sword and Shield L Lawful Bors Gunlance N Ner Bustergun I Heavy Bowgun Ner Bustergun II Heavy Bowgun Ner Bustergun III Heavy Bowgun Nerskiller Sword and Shield Nihil Sword I Sword and Shield Nihil Sword II Sword and Shield P Paladin Lance I Lance Precipice Lohamata Gunlance Precipice Malmiam Heavy Bowgun Precipice Mateptro Sword and Shield Purifying Beaumains Lance Q Quematrice Culebrina I Gunlance Quematrice Culebrina II Gunlance Quematrice Culebrina III Gunlance Quematrice Culebrina IV Gunlance Quematrice Lanza I Lance Quematrice Lanza II Lance Quematrice Lanza III Lance Quematrice Lanza IV Lance R Rey Indra I Lance Rey Indra II Lance Rey Indra III Lance Rey Kuara I Sword and Shield Rey Kuara II Sword and Shield Rey Kuara III Sword and Shield S Scaly Sword I Sword and Shield Scaly Sword II Sword and Shield Scaly Sword III Sword and Shield Shrouded Katalo Sword and Shield Shrouded Kutharja Charge Blade Smithy's Pride Sword and Shield T Tankmage I Heavy Bowgun Tankmage II Heavy Bowgun Tanksorcerer Heavy Bowgun U Uth Falarmata I Gunlance Uth Falarmata II Gunlance Uth Falarmata III Gunlance V Veldian Hasta I Gunlance Veldian Labrys I Charge Blade Veldian Lancea I Lance Veldian Mucro I Sword and Shield W Windpierce Lance I Lance Windpierce Lance II Lance Windpierce Lance III Lance Windpierce Tsukibami Lance","3",""
"","Guard Up","","Reduces damage taken by 30%.","Reduces damage taken by 50%.","Reduces damage taken by 80%.","","","","","","Chata Club IV Sword and Shield Chrome Drill I Lance Chrome Drill II Lance Chrome Drill III Lance Chrome Lance Lance Gravios Gigahowl Heavy Bowgun Gravios Howl I Heavy Bowgun Gravios Lance Lance Gravios Spear I Lance Gravios Syphos I Sword and Shield Rompo Dendrotox Charge Blade Rompo Latrotox Heavy Bowgun Rompo Piercer I Lance Rompo Piercer II Lance Rompo Piercer III Lance Rompo Shielder I Charge Blade Rompo Shielder II Charge Blade Rompo Shielder III Charge Blade Rompo Sniper I Heavy Bowgun Rompo Sniper II Heavy Bowgun Rompo Sniper III Heavy Bowgun Rompo Tetrotox Lance Shield Jewel II [2] Weapon Decorations Shield Jewel III [3] Weapon Decorations Shield Jewel [1] Weapon Decorations Shield/Blaze Jewel [3] Weapon Decorations Shield/Bolt Jewel [3] Weapon Decorations Shield/Dragon Jwl [3] Weapon Decorations Shield/Frost Jewel [3] Weapon Decorations Shield/Handicraft Jwl [3] Weapon Decorations Shield/Ironwall Jwl [3] Weapon Decorations Shield/Stream Jewel [3] Weapon Decorations Shrouded Katalo Sword and Shield Titan's Armament Sword and Shield Triple Bayonet I Gunlance Triple Bayonet II Gunlance Triple Bayonet III Gunlance Triumvirate Edge Gunlance White Cannon Gunlance White Gunlance I Gunlance","3",""
"","Guardian Arkveld's Vitality","","Restores a moderate amount of health when destroying a wound…","Restores health when destroying a wound on a large monster. …","","","","","","","G. Arkveld Coil Waist G. Arkveld Coil α Waist G. Arkveld Coil β Waist G. Arkveld Greaves Legs G. Arkveld Greaves α Legs G. Arkveld Greaves β Legs G. Arkveld Helm Head G. Arkveld Helm α Head G. Arkveld Helm β Head G. Arkveld Mail Chest G. Arkveld Mail α Chest G. Arkveld Mail β Chest G. Arkveld Vambraces Arms G. Arkveld Vambraces α Arms G. Arkveld Vambraces β Arms Guardian Arkveld Armor Sets Guardian Arkveld α Armor Sets Guardian Arkveld β Armor Sets","2",""
"","Guardian's Protection","","Reduces elemental and unique damage while in the Ruins of Wyveria.…","","","","","","","","Artian Coil α Waist Artian Greaves α Legs Artian Helm α Head Artian Mail α Chest Artian Vambraces α Arms Artian α Armor Sets G. Arkveld Coil β Waist G. Arkveld Greaves β Legs G. Arkveld Helm β Head G. Arkveld Mail β Chest G. Arkveld Vambraces β Arms G. Doshaguma Braces β Arms G. Doshaguma Coil β Waist G. Doshaguma Greaves β Legs G. Doshaguma Helm β Head G. Doshaguma Mail β Chest G. Ebony Braces β Arms G. Ebony Coil β Waist G. Ebony Greaves β Legs G. Ebony Helm β Head G. Ebony Mail β Chest G. Fulgur Coil β Waist G. Fulgur Greaves β Legs G. Fulgur Helm β Head G. Fulgur Mail β Chest G. Fulgur Vambraces β Arms G. Rathalos Coil β Waist G. Rathalos Greaves β Legs G. Rathalos Helm β Head G. Rathalos Mail β Chest G. Rathalos Vambraces β Arms G. Seikret Coil β Waist Guardian Arkveld β Armor Sets Guardian Doshaguma β Armor Sets Guardian Ebony β Armor Sets Guardian Fulgur β Armor Sets Guardian Rathalos β Armor Sets Guardian Seikret β Armor Sets","1",""
"","Guardian's Pulse","","Increases recovery speed of stamina and red gauge when near Wylkrystals.…","","","","","","","","G G. Arkveld Coil Waist G. Arkveld Coil α Waist G. Arkveld Greaves Legs G. Arkveld Greaves α Legs G. Arkveld Helm Head G. Arkveld Helm α Head G. Arkveld Mail Chest G. Arkveld Mail α Chest G. Arkveld Vambraces Arms G. Arkveld Vambraces α Arms G. Doshaguma Braces Arms G. Doshaguma Braces α Arms G. Doshaguma Coil Waist G. Doshaguma Coil α Waist G. Doshaguma Greaves Legs G. Doshaguma Greaves α Legs G. Doshaguma Helm Head G. Doshaguma Helm α Head G. Doshaguma Mail Chest G. Doshaguma Mail α Chest G. Ebony Braces Arms G. Ebony Braces α Arms G. Ebony Coil Waist G. Ebony Coil α Waist G. Ebony Greaves Legs G. Ebony Greaves α Legs G. Ebony Helm Head G. Ebony Helm α Head G. Ebony Mail Chest G. Ebony Mail α Chest G. Fulgur Coil α Waist G. Fulgur Greaves α Legs G. Fulgur Helm α Head G. Fulgur Mail α Chest G. Fulgur Vambraces α Arms G. Rathalos Coil Waist G. Rathalos Coil α Waist G. Rathalos Greaves Legs G. Rathalos Greaves α Legs G. Rathalos Helm Head G. Rathalos Helm α Head G. Rathalos Mail Chest G. Rathalos Mail α Chest G. Rathalos Vambraces Arms G. Rathalos Vambraces α Arms G. Seikret Coil Waist G. Seikret Coil α Waist Guardian Arkveld Armor Sets Guardian Arkveld α Armor Sets Guardian Doshaguma Armor Sets Guardian Doshaguma α Armor Sets Guardian Ebony Armor Sets Guardian Ebony α Armor Sets Guardian Fulgur α Armor Sets Guardian Rathalos Armor Sets Guardian Rathalos α Armor Sets Guardian Seikret Armor Sets Guardian Seikret α Armor Sets","1",""
"","Handicraft","","Weapon sharpness +10","Weapon sharpness +20","Weapon sharpness +30","Weapon sharpness +40","Weapon sharpness +50","","","","Handicraft Jewel II [2] Weapon Decorations Handicraft Jewel [1] Weapon Decorations Handicraft Jwl III [3] Weapon Decorations","5",""
,,,,,,,,,,,,,
"","Hardy Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Heroics","","Defense +50 while active.","Attack +5% and defense +50 while active.","Attack +5% and defense +100 while active.","Attack +10% and defense +100 while active.","Attack +30% and defense-increasing effects are negated while…","","","","Azuz Apron α Chest Azuz α Armor Sets G. Doshaguma Braces α Arms G. Doshaguma Braces β Arms G. Doshaguma Coil Waist G. Doshaguma Coil α Waist G. Doshaguma Coil β Waist G. Doshaguma Greaves α Legs G. Doshaguma Greaves β Legs G. Doshaguma Helm Head G. Doshaguma Helm α Head G. Doshaguma Helm β Head G. Doshaguma Mail Chest Grit Charm I Level 1 Grit Charm II Level 2 Grit Charm III Level 3 Guardian Doshaguma Armor Sets Guardian Doshaguma α Armor Sets Guardian Doshaguma β Armor Sets King Beetle Brachia α Arms King Beetle Crura α Legs King Beetle Elytra α Waist King Beetle Thorax α Chest King Beetle Vertex α Head King Beetle α Armor Sets Potential Jewel [2] Armor Decorations Xu Wu Coil α Waist Xu Wu Coil β Waist Xu Wu Mail α Chest Xu Wu Mail β Chest Xu Wu α Armor Sets Xu Wu β Armor Sets","5",""
"","Horn Maestro","","Extends Melody Effect duration and increases the chance of larger…","Greatly increases the effect duration of hunting horn melodies.…","","","","","","","Crazed Melody Hunting Horn Dosha Farsounder II Hunting Horn Dosha Farsounder III Hunting Horn Dosha Grudgesounder I Hunting Horn Dosha Grudgesounder II Hunting Horn Farsounder Honga Hunting Horn G. Resounding Galahad Hunting Horn G. Veldian Sibilus I Hunting Horn G. Veldian Sibilus II Hunting Horn Great Bagpipe Hunting Horn Grudgesounder Urga Hunting Horn Kae-Jin's Lament Hunting Horn Kut-Ku Cantabile Hunting Horn Kut-Ku's Song I Hunting Horn Kut-Ku's Song II Hunting Horn Metal Bagpipe I Hunting Horn Metal Bagpipe II Hunting Horn Metal Bagpipe III Hunting Horn Nihil Chord I Hunting Horn Nihil Chord II Hunting Horn Perun Clairhorn Hunting Horn Poisoned Capri I Hunting Horn Poisoned Capri II Hunting Horn Resounding Galahad Hunting Horn Rey Perun I Hunting Horn Rey Perun II Hunting Horn Rey Perun III Hunting Horn Sonorous Jewel [2] Weapon Decorations Sonorous/Attack Jwl [3] Weapon Decorations Sonorous/Draw Jwl [3] Weapon Decorations Sonorous/Expert Jwl [3] Weapon Decorations Sonorous/Handicraft Jwl [3] Weapon Decorations Sonorous/KO Jewel [3] Weapon Decorations Veldian Sibilus I Hunting Horn War Bongo I Hunting Horn War Bongo II Hunting Horn War Conga Hunting Horn","2",""
"","Hunger Resistance","","Extends the time until your stamina cap reduces by 50%.","Extends the time until your stamina cap reduces by 100%.","Prevents your stamina cap from decreasing.","","","","","","Balahara Armor Sets Balahara Helm Head Battle Mail α Chest Battle α Armor Sets G. Doshaguma Coil α Waist G. Doshaguma Helm α Head Guardian Doshaguma α Armor Sets Hungerless Charm I Level 1 Hungerless Charm II Level 2 Hungerless Charm III Level 3 Hungerless Jewel [1] Armor Decorations Leather Armor Sets Leather Belt α Waist Leather Gloves Arms Leather Gloves α Arms Leather Pants α Legs Leather α Armor Sets","3",""
"","Ice Attack","","Ice attack +40","Ice attack +10% Bonus: +50","Ice attack +20% Bonus: +60","","","","","","Frost Jewel II [2] Weapon Decorations Frost Jewel III [3] Weapon Decorations Frost Jewel [1] Weapon Decorations Frost/Bandolier Jwl [3] Weapon Decorations Frost/Crit Elem Jwl [3] Weapon Decorations Frost/Enhancer Jwl [3] Weapon Decorations Frost/Focus Jewel [3] Weapon Decorations Frost/Guardian Jwl [3] Weapon Decorations Frost/Handicraft Jwl [3] Weapon Decorations Frost/Ironwall Jwl [3] Weapon Decorations Frost/KO Jewel [3] Weapon Decorations Frost/Opener Jewel [3] Weapon Decorations Frost/Precise Jewel [3] Weapon Decorations Frost/Quickswitch Jwl [3] Weapon Decorations Frost/Rzr Sharp Jwl [3] Weapon Decorations Frost/Shield Jewel [3] Weapon Decorations","3",""
"","Ice Resistance","","Ice resistance +6","Ice resistance +12","Ice resistance +20 Defense +10","","","","","","Chainmail Armor α Chest Chainmail Belt α Waist Chainmail α Armor Sets Hirabami Armor Sets Hirabami Coil Waist Hirabami Greaves Legs Hirabami Greaves α Legs Hirabami Mail α Chest Hirabami Mail β Chest Hirabami Vambraces Arms Hirabami α Armor Sets Hirabami β Armor Sets Ice Charm I Level 1 Ice Charm II Level 2 Ice Charm III Level 3 Ice Res Jewel [1] Armor Decorations","3",""
"","Immunizer Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","Lessens the effects of various ailments.","","","","","","","","","","Wild Herb Ingredients"
"","Imparted Wisdom","","Increases the chance of finding rare gathering points.","","","","","","","","Azuz Apron α Chest Azuz Headdress α Head Azuz Pants α Legs Azuz α Armor Sets Battle Coil α Waist Battle Greaves α Legs Battle Helm α Head Battle Mail α Chest Battle Vambraces α Arms Battle α Armor Sets Butterfly Brachia α Arms Butterfly Crura α Legs Butterfly Elytra α Waist Butterfly Thorax α Chest Butterfly Vertex α Head Butterfly α Armor Sets Death Stench Bowels α Waist Death Stench Brain α Head Death Stench Grip α Arms Death Stench Heel α Legs Death Stench Muscle α Chest Death Stench α Armor Sets High Metal Braces α Arms High Metal Coil α Waist High Metal Greaves α Legs High Metal Helm α Head High Metal Mail α Chest High Metal α Armor Sets King Beetle Brachia α Arms King Beetle Crura α Legs King Beetle Elytra α Waist King Beetle Thorax α Chest King Beetle Vertex α Head King Beetle α Armor Sets Kunafa Chaps α Legs Kunafa Cloak α Chest Kunafa Headgear α Head Kunafa Sash α Waist Kunafa α Armor Sets Melahoa Branch α Arms Melahoa Folia α Waist Melahoa Hat α Head Melahoa Jacket α Chest Melahoa Roots α Legs Melahoa α Armor Sets Sild Coat α Chest Sild Hood α Head Sild α Armor Sets Suja Sash α Waist Suja α Armor Sets","1",""
"","Insurance Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Intimidator","","Discourages monsters from engaging you even if you’ve been spotted.…","Highly discourages monsters from engaging you even if you’ve…","Prevents monsters from engaging you even if you’ve been spotted.…","","","","","","Conga Helm α Head Conga Helm β Head Conga Mail α Chest Conga Mail β Chest Conga α Armor Sets Conga β Armor Sets Death Stench Bowels α Waist Death Stench α Armor Sets G. Rathalos Coil Waist G. Rathalos Helm Head G. Rathalos Mail Chest G. Rathalos Mail α Chest G. Rathalos Mail β Chest G. Rathalos Vambraces α Arms Guardian Rathalos Armor Sets Guardian Rathalos α Armor Sets Guardian Rathalos β Armor Sets Intimidator Charm I Level 1 Intimidator Charm II Level 2 Intimidator Charm III Level 3 Intimidator Jewel [1] Armor Decorations","3",""
"","Iron Carver Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Iron Skin","","Reduces the duration of defense down by 50%.","Reduces the duration of defense down by 75%.","Prevents defense down.","","","","","","Def Lock Jewel [1] Armor Decorations G. Doshaguma Braces α Arms G. Doshaguma Greaves Legs G. Doshaguma Mail Chest G. Doshaguma Mail α Chest Guard Charm I Level 1 Guard Charm II Level 2 Guard Charm III Level 3 Guardian Doshaguma Armor Sets Guardian Doshaguma α Armor Sets High Metal Mail α Chest High Metal α Armor Sets","3",""
,,,,,,,,,,,,,
"","Item Prolonger","","Item effect duration +10%","Item effect duration +25%","Item effect duration +50%","","","","","","Battle Coil α Waist Battle α Armor Sets Blango Mail α Chest Blango α Armor Sets Chatacabra Armor Sets Chatacabra Coil α Waist Chatacabra Greaves Legs Chatacabra Greaves α Legs Chatacabra Vambraces Arms Chatacabra Vambraces α Arms Chatacabra Vambraces β Arms Chatacabra α Armor Sets Chatacabra β Armor Sets Damascus Greaves α Legs Damascus α Armor Sets Doshaguma Armor Sets Doshaguma Coil Waist Enduring Jewel [1] Armor Decorations Extension Charm I Level 1 Extension Charm II Level 2 Extension Charm III Level 3 Leather Mail α Chest Leather Pants α Legs Leather α Armor Sets","3",""
"","Jin Dahaad's Revolt","","Increases attack after recovering from webbed status, frostblight,…","Greatly increases attack after recovering from webbed status,…","","","","","","","Dahaad Shardbraces α Arms Dahaad Shardbraces β Arms Dahaad Shardcoil α Waist Dahaad Shardcoil β Waist Dahaad Shardgreaves α Legs Dahaad Shardgreaves β Legs Dahaad Shardhelm α Head Dahaad Shardhelm β Head Dahaad Shardmail α Chest Dahaad Shardmail β Chest Dahaad α Armor Sets Dahaad β Armor Sets","2",""
"","Jump Master","","Negates knockback during jumps.","","","","","","","","G. Seikret Coil Waist G. Seikret Coil α Waist G. Seikret Coil β Waist Guardian Seikret Armor Sets Guardian Seikret α Armor Sets Guardian Seikret β Armor Sets Leap Jewel [1] Armor Decorations","1",""
"","Latent Power","","While active, affinity +10% and reduces stamina depletion by…","While active, affinity +20% and reduces stamina depletion by…","While active, affinity +30% and reduces stamina depletion by…","While active, affinity +40% and reduces stamina depletion by…","While active, affinity +50% and reduces stamina depletion by…","","","","Doshaguma Coil α Waist Doshaguma Coil β Waist Doshaguma Mail α Chest Doshaguma Mail β Chest Doshaguma α Armor Sets Doshaguma β Armor Sets Power Charm I Level 1 Power Charm II Level 2 Quematrice Coil α Waist Quematrice Helm α Head Quematrice Helm β Head Quematrice Mail α Chest Quematrice Mail β Chest Quematrice α Armor Sets Quematrice β Armor Sets Rey Dau Armor Sets Rey Dau α Armor Sets Rey Dau β Armor Sets Rey Sandbraces Arms Rey Sandbraces α Arms Rey Sandbraces β Arms Rey Sandgreaves Legs Rey Sandgreaves α Legs Rey Sandgreaves β Legs Rey Sandhelm Head Rey Sandhelm α Head Rey Sandhelm β Head Throttle Jewel [3] Armor Decorations","5",""
"","Leap of Faith","","Enables skill use.","","","","","","","","Dive Jewel [1] Armor Decorations Talioth Armor Sets Talioth Vambraces Arms Talioth Vambraces α Arms Talioth Vambraces β Arms Talioth α Armor Sets Talioth β Armor Sets","1",""
"","Load Shells","","Increases shell and phial reloading speed.","Increases shell/phial reloading speed. Gunlance loading capacity…","","","","","","","Ajara Gunpike I Gunlance Ajara Gunpike II Gunlance Ajara-Kalika Gunlance Astrapi Clairaxe Charge Blade Bone Strongarm I Charge Blade Bone Strongarm II Charge Blade Bone Strongarm III Charge Blade Bone Strongarm IV Charge Blade Hard Bone Strongarm Charge Blade Magazine Jewel II [2] Weapon Decorations Magazine Jewel [1] Weapon Decorations Magazine/Attack Jwl [3] Weapon Decorations Magazine/Draw Jwl [3] Weapon Decorations Magazine/Expert Jwl [3] Weapon Decorations Magazine/Handicraft Jwl [3] Weapon Decorations Magazine/Ironwall Jwl [3] Weapon Decorations Rey Astrapi I Charge Blade Rey Astrapi II Charge Blade Rey Astrapi III Charge Blade","2",""
"","Lord's Favor","","Temporarily increases attack power when using effects like Melody…","","","","","","","","Dahaad Shardbraces α Arms Dahaad Shardcoil α Waist Dahaad Shardgreaves α Legs Dahaad Shardhelm α Head Dahaad Shardmail α Chest Dahaad α Armor Sets Duna Coil Waist Duna Greaves Legs Duna Helm Head Duna Mail Chest Duna Vambraces Arms Duna Wildbraces α Arms Duna Wildcoil α Waist Duna Wildgreaves α Legs Duna Wildhelm α Head Duna Wildmail α Chest Nu Udra Armor Sets Nu Udra α Armor Sets Rey Dau Armor Sets Rey Dau α Armor Sets Rey Sandbraces Arms Rey Sandbraces α Arms Rey Sandcoil Waist Rey Sandcoil α Waist Rey Sandgreaves Legs Rey Sandgreaves α Legs Rey Sandhelm Head Rey Sandhelm α Head Rey Sandmail Chest Rey Sandmail α Chest Udra Mirebraces Arms Udra Mirebraces α Arms Udra Mirecoil Waist Udra Mirecoil α Waist Udra Miregreaves Legs Udra Miregreaves α Legs Udra Mirehelm Head Udra Mirehelm α Head Udra Miremail Chest Udra Miremail α Chest Uth Duna Armor Sets Uth Duna α Armor Sets","1",""
"","Lord's Fury","","Increases attack when inflicted with ailments.","","","","","","","","Dahaad Shardbraces β Arms Dahaad Shardcoil β Waist Dahaad Shardgreaves β Legs Dahaad Shardhelm β Head Dahaad Shardmail β Chest Dahaad β Armor Sets Duna Wildbraces β Arms Duna Wildcoil β Waist Duna Wildgreaves β Legs Duna Wildhelm β Head Duna Wildmail β Chest Nu Udra β Armor Sets Rey Dau β Armor Sets Rey Sandbraces β Arms Rey Sandcoil β Waist Rey Sandgreaves β Legs Rey Sandhelm β Head Rey Sandmail β Chest Udra Mirebraces β Arms Udra Mirecoil β Waist Udra Miregreaves β Legs Udra Mirehelm β Head Udra Miremail β Chest Uth Duna β Armor Sets","1",""
"","Lucky Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Marathon Runner","","Reduces continuous stamina depletion by 15%.","Reduces continuous stamina depletion by 30%.","Reduces continuous stamina depletion by 50%.","","","","","","Battle Greaves α Legs Battle α Armor Sets Bone Armor Sets Bone Coil Waist Bone Coil α Waist Bone Helm Head Bone Mail Chest Bone Mail α Chest Bone Vambraces α Arms Bone α Armor Sets Dober Coil α Waist Dober Mail α Chest Dober α Armor Sets G. Doshaguma Braces Arms G. Doshaguma Coil Waist G. Doshaguma Greaves Legs Guardian Doshaguma Armor Sets Gypceros Greaves α Legs Gypceros Greaves β Legs Gypceros α Armor Sets Gypceros β Armor Sets Marathon Charm I Level 1 Marathon Charm II Level 2 Marathon Charm III Level 3 Sprinter Jewel [1] Armor Decorations","3",""
"","Master's Touch","","Grants an 80% chance of no sharpness loss while active.","","","","","","","","Alabaster Rathmaul Insect Glaive Albirath Blade I Charge Blade Albirath Blade II Charge Blade Albirath Blaze Splitter Switch Axe Albirath Bludgeon I Hammer Albirath Bludgeon II Hammer Albirath Edge I Sword and Shield Albirath Edge II Sword and Shield Albirath Feroce I Hunting Horn Albirath Feroce II Hunting Horn Albirath Flamesplitter I Switch Axe Albirath Flamesplitter II Switch Axe Albirath Rook I Gunlance Albirath Rook II Gunlance Albirath Tail I Lance Albirath Tail II Lance Albirath Wing I Great Sword Albirath Wing II Great Sword G. Rathalos Feroce Hunting Horn Gibil Hammer Hammer Guardian Albathos Charge Blade Guardian Rathmaul I Insect Glaive Guardian Rathmaul II Insect Glaive Mastery Jewel [3] Weapon Decorations Melting Point Sword and Shield Shining Pillar Lance Shining Rook Gunlance Twin Albiraths I Dual Blades Twin Albiraths II Dual Blades Whitefire Rathguard Great Sword Wyvern Blade ""Ash"" I Long Sword Wyvern Blade ""Ash"" II Long Sword Wyvern Blade ""Lily"" Long Sword Wyvern Sentinels Dual Blades","1",""
