"Title","ArmorSet","Rarity","Price","Skills","Slot1","Slot2","Slot3","DefensiveStats","ForgingMaterials","UnlockRequirements"
"Duna Wildcoil α","Uth Duna α Armor Sets","Rarity 7","7,000 z","Uth Duna's Cover Lord's Favor Peak Performance Aquatic/Oilsilt Mobility","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Uth Duna Certificate S 4× Uth Duna Tentacle+ 5× Uth Duna Claw+ 1× Uth Duna Plate","Uth Duna Scale+"
"Duna Wildcoil β","Uth Duna β Armor Sets","Rarity 7","7,000 z","Uth Duna's Cover Lord's Fury Peak Performance","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Uth Duna Certificate S 4× Uth Duna Tentacle+ 5× Uth Duna Claw+ 1× Uth Duna Plate","Uth Duna Scale+"
"","","","","","","","","","",""
"Duna Wildgreaves α","Uth Duna α Armor Sets","Rarity 7","7,000 z","Uth Duna's Cover Lord's Favor Peak Performance Tool Specialist","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Uth Duna Certificate S 5× Uth Duna Hide+ 4× Uth Duna Tentacle+ 2× Piragill Fin+","Uth Duna Scale+"
"Duna Wildgreaves β","Uth Duna β Armor Sets","Rarity 7","7,000 z","Uth Duna's Cover Lord's Fury Peak Performance","3","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Uth Duna Certificate S 5× Uth Duna Hide+ 4× Uth Duna Tentacle+ 2× Piragill Fin+","Uth Duna Scale+"
"Duna Wildhelm α","Uth Duna α Armor Sets","Rarity 7","7,000 z","Uth Duna's Cover Lord's Favor Tool Specialist Earplugs","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Uth Duna Certificate S 4× Uth Duna Scale+ 4× Uth Duna Cilia+ 1× Uth Duna Watergem","Uth Duna Scale+"
"Duna Wildhelm β","Uth Duna β Armor Sets","Rarity 7","7,000 z","Uth Duna's Cover Lord's Fury Tool Specialist Earplugs","3","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Uth Duna Certificate S 4× Uth Duna Scale+ 4× Uth Duna Cilia+ 1× Uth Duna Watergem","Uth Duna Scale+"
"Duna Wildmail α","Uth Duna α Armor Sets","Rarity 7","7,000 z","Uth Duna's Cover Lord's Favor Tool Specialist Aquatic/Oilsilt Mobility","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Uth Duna Scale+ 6× Uth Duna Hide+ 3× Uth Duna Cilia+ 3× Torrent Sac","Uth Duna Scale+"
"Duna Wildmail β","Uth Duna β Armor Sets","Rarity 7","7,000 z","Uth Duna's Cover Lord's Fury Tool Specialist","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Uth Duna Scale+ 6× Uth Duna Hide+ 3× Uth Duna Cilia+ 3× Torrent Sac","Uth Duna Scale+"
"Expedition Headgear α","Expedition Headgear α Armor Sets","Rarity 5","3,500 z","Blight Resistance Coalescence","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Expedition Headgear Ticket 4× Rathian Scale+ 2× Monster Keenbone 1× Novacrystal","Expedition Headgear Ticket"
"G. Arkveld Coil","Guardian Arkveld Large Monsters","Rarity 4","1,500 z","Guardian Arkveld's Vitality Guardian's Pulse Blight Resistance","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Blood 2× Guardian Doshaguma Claw 1× Guardian Pelt","Guardian Arkveld"
"G. Arkveld Coil α","Guardian Arkveld α Armor Sets","Rarity 8","10,000 z","Guardian Arkveld's Vitality Guardian's Pulse Flayer Elemental Absorption","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 4× Arkveld Scale+ 4× Arkveld Calloushell 1× Rey Dau Boltgem","Arkveld"
"G. Arkveld Coil β","Guardian Arkveld β Armor Sets","Rarity 8","10,000 z","Guardian Arkveld's Vitality Guardian's Protection Flayer","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 4× Arkveld Scale+ 4× Arkveld Calloushell 1× Rey Dau Boltgem","Arkveld"
"G. Arkveld Greaves","Guardian Arkveld Large Monsters","Rarity 4","1,500 z","Guardian Arkveld's Vitality Guardian's Pulse Blight Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Blood 2× Guardian Pelt","Guardian Arkveld"
"G. Arkveld Greaves α","Guardian Arkveld α Armor Sets","Rarity 8","10,000 z","Guardian Arkveld's Vitality Guardian's Pulse Elemental Absorption Weakness Exploit","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 4× Arkveld Armorplate 5× Guardian Scale+ 1× Nu Udra Flamegem","Arkveld"
"G. Arkveld Greaves β","Guardian Arkveld β Armor Sets","Rarity 8","10,000 z","Guardian Arkveld's Vitality Guardian's Protection Elemental Absorption Weakness Exploit","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 4× Arkveld Armorplate 5× Guardian Scale+ 1× Nu Udra Flamegem","Arkveld"
"G. Arkveld Helm","Guardian Arkveld Large Monsters","Rarity 4","1,500 z","Guardian Arkveld's Vitality Guardian's Pulse Flayer","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Blood 2× Guardian Rathalos Webbing 1× Guardian Scale","Guardian Arkveld"
"G. Arkveld Helm α","Guardian Arkveld α Armor Sets","Rarity 8","10,000 z","Guardian Arkveld's Vitality Guardian's Pulse Flayer Partbreaker","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 6× Arkveld Scale+ 5× Guardian Pelt+ 1× Uth Duna Watergem","Arkveld"
"G. Arkveld Helm β","Guardian Arkveld β Armor Sets","Rarity 8","10,000 z","Guardian Arkveld's Vitality Guardian's Protection Flayer Partbreaker","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 6× Arkveld Scale+ 5× Guardian Pelt+ 1× Uth Duna Watergem","Arkveld"
"G. Arkveld Mail","Guardian Arkveld Large Monsters","Rarity 4","1,500 z","Guardian Arkveld's Vitality Guardian's Pulse Flayer Blight Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Blood 2× Guardian Ebony Claw 3× Tough Guardian Bone","Guardian Arkveld"
"G. Arkveld Mail α","Guardian Arkveld α Armor Sets","Rarity 8","10,000 z","Guardian Arkveld's Vitality Guardian's Pulse Flayer Blight Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 3× White Arkveld Pelt 1× Arkveld Gem 3× Guardian Blood+","Arkveld"
"G. Arkveld Mail β","Guardian Arkveld β Armor Sets","Rarity 8","10,000 z","Guardian Arkveld's Vitality Guardian's Protection Flayer Blight Resistance","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 3× White Arkveld Pelt 1× Arkveld Gem 3× Guardian Blood+","Arkveld"
"G. Arkveld Vambraces","Guardian Arkveld Large Monsters","Rarity 4","1,500 z","Guardian Arkveld's Vitality Guardian's Pulse Flayer","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Blood 2× Guardian Scale 2× Guardian Seikret Feather","Guardian Arkveld"
"G. Arkveld Vambraces α","Guardian Arkveld α Armor Sets","Rarity 8","10,000 z","Guardian Arkveld's Vitality Guardian's Pulse Weakness Exploit Blight Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 6× Arkveld Armorplate 3× White Arkveld Pelt 1× Jin Dahaad Icegem","Arkveld"
"G. Arkveld Vambraces β","Guardian Arkveld β Armor Sets","Rarity 8","10,000 z","Guardian Arkveld's Vitality Guardian's Protection Weakness Exploit","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 6× Arkveld Armorplate 3× White Arkveld Pelt 1× Jin Dahaad Icegem","Arkveld"
"G. Doshaguma Braces","Guardian Doshaguma Large Monsters","Rarity 4","800 z","Doshaguma's Might Guardian's Pulse Marathon Runner","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Guardian Doshaguma Hide 1× Guardian Doshaguma Fang","Repel the Guardian Arkveld Assignments"
"G. Doshaguma Braces α","Guardian Doshaguma α Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Guardian's Pulse Heroics Iron Skin","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Doshaguma Certificate S 5× Guardian Doshaguma Fur+ 3× Guardian Doshaguma Claw+ 1× Beast Gem","Guardian Doshaguma Fur+"
"","","","","","","","","","",""
"G. Doshaguma Braces β","Guardian Doshaguma β Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Guardian's Protection Heroics","2","2","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Doshaguma Certificate S 5× Guardian Doshaguma Fur+ 3× Guardian Doshaguma Claw+ 1× Beast Gem","Guardian Doshaguma Fur+"
"G. Doshaguma Coil","Guardian Doshaguma Large Monsters","Rarity 4","800 z","Doshaguma's Might Guardian's Pulse Heroics Marathon Runner","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Doshaguma Certificate 2× Guardian Doshaguma Fur 1× Guardian Doshaguma Claw 1× Guardian Blood","Repel the Guardian Arkveld Assignments"
"G. Doshaguma Coil α","Guardian Doshaguma α Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Guardian's Pulse Heroics Hunger Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Guardian Doshaguma Fur+ 4× Guardian Doshaguma Hide+ 2× Guardian Doshaguma Fang+ 2× Stoutbone","Guardian Doshaguma Fur+"
"G. Doshaguma Coil β","Guardian Doshaguma β Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Guardian's Protection Heroics","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Guardian Doshaguma Fur+ 4× Guardian Doshaguma Hide+ 2× Guardian Doshaguma Fang+ 2× Stoutbone","Guardian Doshaguma Fur+"
"G. Doshaguma Greaves","Guardian Doshaguma Large Monsters","Rarity 4","800 z","Doshaguma's Might Guardian's Pulse Marathon Runner Iron Skin","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Doshaguma Claw 1× Guardian Doshaguma Fang 1× Guardian Pelt","Repel the Guardian Arkveld Assignments"
"G. Doshaguma Greaves α","Guardian Doshaguma α Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Guardian's Pulse Heroics Constitution","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Doshaguma Certificate S 5× Guardian Doshaguma Hide+ 2× Guardian Doshaguma Fang+ 2× Guardian Seikret Feather+","Guardian Doshaguma Fur+"
"G. Doshaguma Greaves β","Guardian Doshaguma β Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Guardian's Protection Heroics Constitution","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Doshaguma Certificate S 5× Guardian Doshaguma Hide+ 2× Guardian Doshaguma Fang+ 2× Guardian Seikret Feather+","Guardian Doshaguma Fur+"
"G. Doshaguma Helm","Guardian Doshaguma Large Monsters","Rarity 4","800 z","Doshaguma's Might Guardian's Pulse Heroics","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Guardian Doshaguma Fur 2× Guardian Doshaguma Hide 1× Guardian Doshaguma Fang","Repel the Guardian Arkveld Assignments"
"G. Doshaguma Helm α","Guardian Doshaguma α Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Guardian's Pulse Heroics Hunger Resistance","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× G. Doshaguma Certificate S 2× Guardian Doshaguma Claw+ 3× Guardian Doshaguma Fang+ 2× Guardian Blood+","Guardian Doshaguma Fur+"
"G. Doshaguma Helm β","Guardian Doshaguma β Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Guardian's Protection Heroics","2","2","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× G. Doshaguma Certificate S 2× Guardian Doshaguma Claw+ 3× Guardian Doshaguma Fang+ 2× Guardian Blood+","Guardian Doshaguma Fur+"
"G. Doshaguma Mail","Guardian Doshaguma Large Monsters","Rarity 4","800 z","Doshaguma's Might Guardian's Pulse Heroics Iron Skin","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Guardian Doshaguma Fur 1× Guardian Doshaguma Claw","Repel the Guardian Arkveld Assignments"
"G. Doshaguma Mail α","Guardian Doshaguma α Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Guardian's Pulse Constitution Iron Skin","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Guardian Doshaguma Fur+ 2× Guardian Doshaguma Claw+ 3× Guardian Pelt+","Guardian Doshaguma Fur+"
"","","","","","","","","","",""
"G. Doshaguma Mail β","Guardian Doshaguma β Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Guardian's Protection Constitution","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Guardian Doshaguma Fur+ 2× Guardian Doshaguma Claw+ 3× Guardian Pelt+","Guardian Doshaguma Fur+"
"G. Ebony Braces","Guardian Ebony Armor Sets","Rarity 4","800 z","Ebony Odogaron's Power Guardian's Pulse Burst","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Guardian Ebony Scale 2× Guardian Ebony Sinew 1× Guardian Ebony Fang","Guardian Ebony Odogaron"
"G. Ebony Braces α","Guardian Ebony α Armor Sets","Rarity 6","5,000 z","Ebony Odogaron's Power Guardian's Pulse Burst Divine Blessing","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Ebony Odogaron Certificate S 2× Guardian Ebony Claw+ 3× Guardian Ebony Scale+ 1× Guardian Ebony Gem","Guardian Ebony Scale+"
"G. Ebony Braces β","Guardian Ebony β Armor Sets","Rarity 6","5,000 z","Ebony Odogaron's Power Guardian's Protection Burst Divine Blessing","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Ebony Odogaron Certificate S 2× Guardian Ebony Claw+ 3× Guardian Ebony Scale+ 1× Guardian Ebony Gem","Guardian Ebony Scale+"
"G. Ebony Coil","Guardian Ebony Armor Sets","Rarity 4","800 z","Ebony Odogaron's Power Guardian's Pulse Burst Bleeding Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Ebony Odogaron Certificate 1× Guardian Ebony Tail 1× Guardian Ebony Claw 1× Guardian Ebony Plate","Guardian Ebony Odogaron"
"G. Ebony Coil α","Guardian Ebony α Armor Sets","Rarity 6","5,000 z","Ebony Odogaron's Power Guardian's Pulse Burst Bleeding Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× G. Ebony Odogaron Certificate S 2× Guardian Ebony Fang+ 2× Guardian Ebony Tail 1× Guardian Ebony Plate","Guardian Ebony Scale+"
"G. Ebony Coil β","Guardian Ebony β Armor Sets","Rarity 6","5,000 z","Ebony Odogaron's Power Guardian's Protection Burst","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× G. Ebony Odogaron Certificate S 2× Guardian Ebony Fang+ 2× Guardian Ebony Tail 1× Guardian Ebony Plate","Guardian Ebony Scale+"
"G. Ebony Greaves","Guardian Ebony Armor Sets","Rarity 4","800 z","Ebony Odogaron's Power Guardian's Pulse Bleeding Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Guardian Ebony Scale 1× Guardian Ebony Claw","Guardian Ebony Odogaron"
"G. Ebony Greaves α","Guardian Ebony α Armor Sets","Rarity 6","5,000 z","Ebony Odogaron's Power Guardian's Pulse Earplugs Divine Blessing","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Ebony Odogaron Certificate S 5× Guardian Ebony Sinew+ 4× Guardian Ebony Fang+ 2× Tough Guardian Bone","Guardian Ebony Scale+"
"G. Ebony Greaves β","Guardian Ebony β Armor Sets","Rarity 6","5,000 z","Ebony Odogaron's Power Guardian's Protection Earplugs Divine Blessing","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Ebony Odogaron Certificate S 5× Guardian Ebony Sinew+ 4× Guardian Ebony Fang+ 2× Tough Guardian Bone","Guardian Ebony Scale+"
"G. Ebony Helm","Guardian Ebony Armor Sets","Rarity 4","800 z","Ebony Odogaron's Power Guardian's Pulse Burst","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Ebony Claw 1× Guardian Ebony Fang 1× Guardian Ebony Tail","Guardian Ebony Odogaron"
"G. Ebony Helm α","Guardian Ebony α Armor Sets","Rarity 6","5,000 z","Ebony Odogaron's Power Guardian's Pulse Burst Earplugs","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Guardian Ebony Scale+ 6× Guardian Ebony Sinew+ 4× Guardian Ebony Claw+ 3× Guardian Ebony Fang+","Guardian Ebony Scale+"
"","","","","","","","","","",""
"G. Ebony Helm β","Guardian Ebony β Armor Sets","Rarity 6","5,000 z","Ebony Odogaron's Power Guardian's Protection Burst","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Guardian Ebony Scale+ 6× Guardian Ebony Sinew+ 4× Guardian Ebony Claw+ 3× Guardian Ebony Fang+","Guardian Ebony Scale+"
"G. Ebony Mail","Guardian Ebony Armor Sets","Rarity 4","800 z","Ebony Odogaron's Power Guardian's Pulse Bleeding Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Guardian Ebony Sinew 1× Guardian Ebony Fang","Guardian Ebony Odogaron"
"G. Ebony Mail α","Guardian Ebony α Armor Sets","Rarity 6","5,000 z","Ebony Odogaron's Power Guardian's Pulse Earplugs Bleeding Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Guardian Ebony Scale+ 3× Guardian Ebony Claw+ 3× Guardian Scale+","Guardian Ebony Scale+"
"G. Ebony Mail β","Guardian Ebony β Armor Sets","Rarity 6","5,000 z","Ebony Odogaron's Power Guardian's Protection Earplugs","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Guardian Ebony Scale+ 3× Guardian Ebony Claw+ 3× Guardian Scale+","Guardian Ebony Scale+"
"G. Fulgur Coil α","Guardian Fulgur α Armor Sets","Rarity 6","5,000 z","Fulgur Anjanath's Will Guardian's Pulse Stamina Surge Maximum Might","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Fulgur Certificate S 3× Guardian Fulgur Scale+ 2× Guardian Fulgur Fang+ 1× Guardian Fulgur Gem","Guardian Fulgur Anjanath"
"G. Fulgur Coil β","Guardian Fulgur β Armor Sets","Rarity 6","5,000 z","Fulgur Anjanath's Will Guardian's Protection Stamina Surge","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Fulgur Certificate S 3× Guardian Fulgur Scale+ 2× Guardian Fulgur Fang+ 1× Guardian Fulgur Gem","Guardian Fulgur Anjanath"
"G. Fulgur Greaves α","Guardian Fulgur α Armor Sets","Rarity 6","5,000 z","Fulgur Anjanath's Will Guardian's Pulse Coalescence Stamina Surge","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Guardian Fulgur Scale+ 6× Guardian Fulgur Pelt+ 2× Guardian Fulgur Tail 2× Guardian Blood+","Guardian Fulgur Anjanath"
"G. Fulgur Greaves β","Guardian Fulgur β Armor Sets","Rarity 6","5,000 z","Fulgur Anjanath's Will Guardian's Protection Coalescence Stamina Surge","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Guardian Fulgur Scale+ 6× Guardian Fulgur Pelt+ 2× Guardian Fulgur Tail 2× Guardian Blood+","Guardian Fulgur Anjanath"
"G. Fulgur Helm α","Guardian Fulgur α Armor Sets","Rarity 6","5,000 z","Fulgur Anjanath's Will Guardian's Pulse Agitator Coalescence","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Fulgur Certificate S 5× Guardian Fulgur Pelt+ 4× Guardian Fulgur Nosebone+ 3× Thunder Sac","Guardian Fulgur Anjanath"
"G. Fulgur Helm β","Guardian Fulgur β Armor Sets","Rarity 6","5,000 z","Fulgur Anjanath's Will Guardian's Protection Agitator","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Fulgur Certificate S 5× Guardian Fulgur Pelt+ 4× Guardian Fulgur Nosebone+ 3× Thunder Sac","Guardian Fulgur Anjanath"
"G. Fulgur Mail α","Guardian Fulgur α Armor Sets","Rarity 6","5,000 z","Fulgur Anjanath's Will Guardian's Pulse Maximum Might Coalescence","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Guardian Fulgur Certificate S 4× Guardian Fulgur Nosebone+ 4× Guardian Fulgur Fang+ 1× Wyvern Gem","Guardian Fulgur Anjanath"
"G. Fulgur Mail β","Guardian Fulgur β Armor Sets","Rarity 6","5,000 z","Fulgur Anjanath's Will Guardian's Protection Maximum Might","2","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Guardian Fulgur Certificate S 4× Guardian Fulgur Nosebone+ 4× Guardian Fulgur Fang+ 1× Wyvern Gem","Guardian Fulgur Anjanath"
"","","","","","","","","","",""
"G. Fulgur Vambraces α","Guardian Fulgur α Armor Sets","Rarity 6","5,000 z","Fulgur Anjanath's Will Guardian's Pulse Maximum Might Agitator","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Guardian Fulgur Scale+ 3× Guardian Fulgur Fang+ 3× Guardian Pelt+","Guardian Fulgur Anjanath"
"G. Fulgur Vambraces β","Guardian Fulgur β Armor Sets","Rarity 6","5,000 z","Fulgur Anjanath's Will Guardian's Protection Maximum Might","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Guardian Fulgur Scale+ 3× Guardian Fulgur Fang+ 3× Guardian Pelt+","Guardian Fulgur Anjanath"
"G. Rathalos Coil","Guardian Rathalos Large Monsters","Rarity 4","800 z","Rathalos's Flare Guardian's Pulse Intimidator","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Guardian Rathalos Scale 1× Guardian Rathalos Webbing","Repel the Guardian Arkveld Assignments"
"G. Rathalos Coil α","Guardian Rathalos α Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Guardian's Pulse Weakness Exploit Windproof","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Guardian Rathalos Scale+ 6× Guardian Rathalos Carapace 2× Guardian Rathalos Wing 2× Guardian Rathalos Tail","Guardian Rathalos Scale+"
"G. Rathalos Coil β","Guardian Rathalos β Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Guardian's Protection Windproof","2","2","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Guardian Rathalos Scale+ 6× Guardian Rathalos Carapace 2× Guardian Rathalos Wing 2× Guardian Rathalos Tail","Guardian Rathalos Scale+"
"G. Rathalos Greaves","Guardian Rathalos Large Monsters","Rarity 4","800 z","Rathalos's Flare Guardian's Pulse Weakness Exploit","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Rathalos Webbing 1× Guardian Rathalos Tail 1× Guardian Scale","Repel the Guardian Arkveld Assignments"
"G. Rathalos Greaves α","Guardian Rathalos α Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Guardian's Pulse Weakness Exploit Windproof","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× G. Rathalos Certificate S 2× Guardian Rathalos Wing 1× Guardian Rathalos Plate 5× Inferno Sac","Guardian Rathalos Scale+"
"G. Rathalos Greaves β","Guardian Rathalos β Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Guardian's Protection Weakness Exploit Windproof","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× G. Rathalos Certificate S 2× Guardian Rathalos Wing 1× Guardian Rathalos Plate 5× Inferno Sac","Guardian Rathalos Scale+"
"G. Rathalos Helm","Guardian Rathalos Large Monsters","Rarity 4","800 z","Rathalos's Flare Guardian's Pulse Weakness Exploit Intimidator","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Rathalos Certificate 2× Guardian Rathalos Scale 1× Guardian Rathalos Shell 1× Guardian Rathalos Plate","Repel the Guardian Arkveld Assignments"
"G. Rathalos Helm α","Guardian Rathalos α Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Guardian's Pulse Weakness Exploit Survival Expert","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Rathalos Certificate S 5× Guardian Rathalos Carapace 2× Guardian Rathalos Wing 1× Novacrystal","Guardian Rathalos Scale+"
"G. Rathalos Helm β","Guardian Rathalos β Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Guardian's Protection Weakness Exploit","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Rathalos Certificate S 5× Guardian Rathalos Carapace 2× Guardian Rathalos Wing 1× Novacrystal","Guardian Rathalos Scale+"
"G. Rathalos Mail","Guardian Rathalos Large Monsters","Rarity 4","800 z","Rathalos's Flare Guardian's Pulse Intimidator","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Guardian Rathalos Shell 1× Guardian Rathalos Webbing","Repel the Guardian Arkveld Assignments"
"","","","","","","","","","",""
"G. Rathalos Mail α","Guardian Rathalos α Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Guardian's Pulse Weakness Exploit Intimidator","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Guardian Rathalos Scale+ 2× Guardian Rathalos Wing 3× Guardian Scale+","Guardian Rathalos Scale+"
"G. Rathalos Mail β","Guardian Rathalos β Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Guardian's Protection Weakness Exploit Intimidator","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Guardian Rathalos Scale+ 2× Guardian Rathalos Wing 3× Guardian Scale+","Guardian Rathalos Scale+"
"G. Rathalos Vambraces","Guardian Rathalos Large Monsters","Rarity 4","800 z","Rathalos's Flare Guardian's Pulse Weakness Exploit","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Guardian Rathalos Scale 2× Guardian Rathalos Shell 1× Guardian Rathalos Tail","Repel the Guardian Arkveld Assignments"
"G. Rathalos Vambraces α","Guardian Rathalos α Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Guardian's Pulse Weakness Exploit Intimidator Survival Expert","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Rathalos Certificate S 6× Guardian Rathalos Scale+ 5× Guardian Rathalos Carapace 1× Guardian Rathalos Ruby","Guardian Rathalos Scale+"
"G. Rathalos Vambraces β","Guardian Rathalos β Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Guardian's Protection Weakness Exploit","2","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× G. Rathalos Certificate S 6× Guardian Rathalos Scale+ 5× Guardian Rathalos Carapace 1× Guardian Rathalos Ruby","Guardian Rathalos Scale+"
"G. Seikret Coil","Guardian Seikret Small Monsters","Rarity 4","700 z","Guardian's Pulse Jump Master","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Guardian Seikret Feather 1× Tough Guardian Bone","Repel the Guardian Arkveld Assignments"
"G. Seikret Coil α","Guardian Seikret α Armor Sets","Rarity 6","4,000 z","Guardian's Pulse Jump Master Earplugs","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","4× Guardian Seikret Feather+ 4× Tough Guardian Bone","Thundering Flowers Assignments"
