"Title","MaxLevel","Lv1","Lv2","Lv3","Lv4","Lv5","Lv6","Lv7","ObtainedFrom"
"Guardian's Pulse","1","Increases recovery speed of stamina and red gauge when near Wylkrystals.…","","","","","","","G G. Arkveld Coil G. Arkveld Coil α G. Arkveld Greaves G. Arkveld Greaves α G. Arkveld Helm G. Arkveld Helm α G. Arkveld Mail G. Arkveld Mail α G. Arkveld Vambraces G. Arkveld Vambraces α G. Doshaguma Braces G. Doshaguma Braces α G. Doshaguma Coil G. Doshaguma Coil α G. Doshaguma Greaves G. Doshaguma Greaves α G. Doshaguma Helm G. Doshaguma Helm α G. Doshaguma Mail G. Doshaguma Mail α G. Ebony Braces G. Ebony Braces α G. Ebony Coil G. Ebony Coil α G. Ebony Greaves G. Ebony Greaves α G. Ebony Helm G. Ebony Helm α G. Ebony Mail G. Ebony Mail α G. Fulgur Coil α G. Fulgur Greaves α G. Fulgur Helm α G. Fulgur Mail α G. Fulgur Vambraces α G. Rathalos Coil G. Rathalos Coil α G. Rathalos Greaves G. Rathalos Greaves α G. Rathalos Helm G. Rathalos Helm α G. Rathalos Mail G. Rathalos Mail α G. Rathalos Vambraces G. Rathalos Vambraces α G. Seikret Coil G. Seikret Coil α Guardian Arkveld Guardian Arkveld α Guardian Doshaguma Guardian Doshaguma α Guardian Ebony Guardian Ebony α Guardian Fulgur α Guardian Rathalos Guardian Rathalos α Guardian Seikret Guardian Seikret α"
"Handicraft","5","Weapon sharpness +10","Weapon sharpness +20","Weapon sharpness +30","Weapon sharpness +40","Weapon sharpness +50","","","Handicraft Jewel II [2] Handicraft Jewel [1] Handicraft Jwl III [3]"
"","","","","","","","","",""
"Hardy Meal","","","","","","","","",""
"Heroics","5","Defense +50 while active.","Attack +5% and defense +50 while active.","Attack +5% and defense +100 while active.","Attack +10% and defense +100 while active.","Attack +30% and defense-increasing effects are negated while…","","","Azuz Apron α Azuz α G. Doshaguma Braces α G. Doshaguma Braces β G. Doshaguma Coil G. Doshaguma Coil α G. Doshaguma Coil β G. Doshaguma Greaves α G. Doshaguma Greaves β G. Doshaguma Helm G. Doshaguma Helm α G. Doshaguma Helm β G. Doshaguma Mail Grit Charm I Grit Charm II Grit Charm III Guardian Doshaguma Guardian Doshaguma α Guardian Doshaguma β King Beetle Brachia α King Beetle Crura α King Beetle Elytra α King Beetle Thorax α King Beetle Vertex α King Beetle α Potential Jewel [2] Xu Wu Coil α Xu Wu Coil β Xu Wu Mail α Xu Wu Mail β Xu Wu α Xu Wu β"
"Horn Maestro","2","Extends Melody Effect duration and increases the chance of larger…","Greatly increases the effect duration of hunting horn melodies.…","","","","","","Crazed Melody Hunting Horn Dosha Farsounder II Hunting Horn Dosha Farsounder III Hunting Horn Dosha Grudgesounder I Hunting Horn Dosha Grudgesounder II Hunting Horn Farsounder Honga Hunting Horn G. Resounding Galahad Hunting Horn G. Veldian Sibilus I Hunting Horn G. Veldian Sibilus II Hunting Horn Great Bagpipe Hunting Horn Grudgesounder Urga Hunting Horn Kae-Jin's Lament Hunting Horn Kut-Ku Cantabile Hunting Horn Kut-Ku's Song I Hunting Horn Kut-Ku's Song II Hunting Horn Metal Bagpipe I Hunting Horn Metal Bagpipe II Hunting Horn Metal Bagpipe III Hunting Horn Nihil Chord I Hunting Horn Nihil Chord II Hunting Horn Perun Clairhorn Hunting Horn Poisoned Capri I Hunting Horn Poisoned Capri II Hunting Horn Resounding Galahad Hunting Horn Rey Perun I Hunting Horn Rey Perun II Hunting Horn Rey Perun III Hunting Horn Sonorous Jewel [2] Sonorous/Attack Jwl [3] Sonorous/Draw Jwl [3] Sonorous/Expert Jwl [3] Sonorous/Handicraft Jwl [3] Sonorous/KO Jewel [3] Veldian Sibilus I Hunting Horn War Bongo I Hunting Horn War Bongo II Hunting Horn War Conga Hunting Horn"
"Hunger Resistance","3","Extends the time until your stamina cap reduces by 50%.","Extends the time until your stamina cap reduces by 100%.","Prevents your stamina cap from decreasing.","","","","","Balahara Balahara Helm Battle Mail α Battle α G. Doshaguma Coil α G. Doshaguma Helm α Guardian Doshaguma α Hungerless Charm I Hungerless Charm II Hungerless Charm III Hungerless Jewel [1] Leather Leather Belt α Leather Gloves Leather Gloves α Leather Pants α Leather α"
"Ice Attack","3","Ice attack +40","Ice attack +10% Bonus: +50","Ice attack +20% Bonus: +60","","","","","Frost Jewel II [2] Frost Jewel III [3] Frost Jewel [1] Frost/Bandolier Jwl [3] Frost/Crit Elem Jwl [3] Frost/Enhancer Jwl [3] Frost/Focus Jewel [3] Frost/Guardian Jwl [3] Frost/Handicraft Jwl [3] Frost/Ironwall Jwl [3] Frost/KO Jewel [3] Frost/Opener Jewel [3] Frost/Precise Jewel [3] Frost/Quickswitch Jwl [3] Frost/Rzr Sharp Jwl [3] Frost/Shield Jewel [3]"
"Ice Resistance","3","Ice resistance +6","Ice resistance +12","Ice resistance +20 Defense +10","","","","","Chainmail Armor α Chainmail Belt α Chainmail α Hirabami Hirabami Coil Hirabami Greaves Hirabami Greaves α Hirabami Mail α Hirabami Mail β Hirabami Vambraces Hirabami α Hirabami β Ice Charm I Ice Charm II Ice Charm III Ice Res Jewel [1]"
"Immunizer Meal","","Lessens the effects of various ailments.","","","","","","",""
"Imparted Wisdom","1","Increases the chance of finding rare gathering points.","","","","","","","Azuz Apron α Azuz Headdress α Azuz Pants α Azuz α Battle Coil α Battle Greaves α Battle Helm α Battle Mail α Battle Vambraces α Battle α Butterfly Brachia α Butterfly Crura α Butterfly Elytra α Butterfly Thorax α Butterfly Vertex α Butterfly α Death Stench Bowels α Death Stench Brain α Death Stench Grip α Death Stench Heel α Death Stench Muscle α Death Stench α High Metal Braces α High Metal Coil α High Metal Greaves α High Metal Helm α High Metal Mail α High Metal α King Beetle Brachia α King Beetle Crura α King Beetle Elytra α King Beetle Thorax α King Beetle Vertex α King Beetle α Kunafa Chaps α Kunafa Cloak α Kunafa Headgear α Kunafa Sash α Kunafa α Melahoa Branch α Melahoa Folia α Melahoa Hat α Melahoa Jacket α Melahoa Roots α Melahoa α Sild Coat α Sild Hood α Sild α Suja Sash α Suja α"
"Insurance Meal","","","","","","","","",""
"Intimidator","3","Discourages monsters from engaging you even if you’ve been spotted.…","Highly discourages monsters from engaging you even if you’ve…","Prevents monsters from engaging you even if you’ve been spotted.…","","","","","Conga Helm α Conga Helm β Conga Mail α Conga Mail β Conga α Conga β Death Stench Bowels α Death Stench α G. Rathalos Coil G. Rathalos Helm G. Rathalos Mail G. Rathalos Mail α G. Rathalos Mail β G. Rathalos Vambraces α Guardian Rathalos Guardian Rathalos α Guardian Rathalos β Intimidator Charm I Intimidator Charm II Intimidator Charm III Intimidator Jewel [1]"
"Iron Carver Meal","","","","","","","","",""
"Iron Skin","3","Reduces the duration of defense down by 50%.","Reduces the duration of defense down by 75%.","Prevents defense down.","","","","","Def Lock Jewel [1] G. Doshaguma Braces α G. Doshaguma Greaves G. Doshaguma Mail G. Doshaguma Mail α Guard Charm I Guard Charm II Guard Charm III Guardian Doshaguma Guardian Doshaguma α High Metal Mail α High Metal α"
"","","","","","","","","",""
"Item Prolonger","3","Item effect duration +10%","Item effect duration +25%","Item effect duration +50%","","","","","Battle Coil α Battle α Blango Mail α Blango α Chatacabra Chatacabra Coil α Chatacabra Greaves Chatacabra Greaves α Chatacabra Vambraces Chatacabra Vambraces α Chatacabra Vambraces β Chatacabra α Chatacabra β Damascus Greaves α Damascus α Doshaguma Doshaguma Coil Enduring Jewel [1] Extension Charm I Extension Charm II Extension Charm III Leather Mail α Leather Pants α Leather α"
"Jin Dahaad's Revolt","2","Increases attack after recovering from webbed status, frostblight,…","Greatly increases attack after recovering from webbed status,…","","","","","","Dahaad Shardbraces α Dahaad Shardbraces β Dahaad Shardcoil α Dahaad Shardcoil β Dahaad Shardgreaves α Dahaad Shardgreaves β Dahaad Shardhelm α Dahaad Shardhelm β Dahaad Shardmail α Dahaad Shardmail β Dahaad α Dahaad β"
"Jump Master","1","Negates knockback during jumps.","","","","","","","G. Seikret Coil G. Seikret Coil α G. Seikret Coil β Guardian Seikret Guardian Seikret α Guardian Seikret β Leap Jewel [1]"
"Latent Power","5","While active, affinity +10% and reduces stamina depletion by…","While active, affinity +20% and reduces stamina depletion by…","While active, affinity +30% and reduces stamina depletion by…","While active, affinity +40% and reduces stamina depletion by…","While active, affinity +50% and reduces stamina depletion by…","","","Doshaguma Coil α Doshaguma Coil β Doshaguma Mail α Doshaguma Mail β Doshaguma α Doshaguma β Power Charm I Power Charm II Quematrice Coil α Quematrice Helm α Quematrice Helm β Quematrice Mail α Quematrice Mail β Quematrice α Quematrice β Rey Dau Rey Dau α Rey Dau β Rey Sandbraces Rey Sandbraces α Rey Sandbraces β Rey Sandgreaves Rey Sandgreaves α Rey Sandgreaves β Rey Sandhelm Rey Sandhelm α Rey Sandhelm β Throttle Jewel [3]"
"Leap of Faith","1","Enables skill use.","","","","","","","Dive Jewel [1] Talioth Talioth Vambraces Talioth Vambraces α Talioth Vambraces β Talioth α Talioth β"
"Load Shells","2","Increases shell and phial reloading speed.","Increases shell/phial reloading speed. Gunlance loading capacity…","","","","","","Ajara Gunpike I Gunlance Ajara Gunpike II Gunlance Ajara-Kalika Gunlance Astrapi Clairaxe Charge Blade Bone Strongarm I Charge Blade Bone Strongarm II Charge Blade Bone Strongarm III Charge Blade Bone Strongarm IV Charge Blade Hard Bone Strongarm Charge Blade Magazine Jewel II [2] Magazine Jewel [1] Magazine/Attack Jwl [3] Magazine/Draw Jwl [3] Magazine/Expert Jwl [3] Magazine/Handicraft Jwl [3] Magazine/Ironwall Jwl [3] Rey Astrapi I Charge Blade Rey Astrapi II Charge Blade Rey Astrapi III Charge Blade"
"Lord's Favor","1","Temporarily increases attack power when using effects like Melody…","","","","","","","Dahaad Shardbraces α Dahaad Shardcoil α Dahaad Shardgreaves α Dahaad Shardhelm α Dahaad Shardmail α Dahaad α Duna Coil Duna Greaves Duna Helm Duna Mail Duna Vambraces Duna Wildbraces α Duna Wildcoil α Duna Wildgreaves α Duna Wildhelm α Duna Wildmail α Nu Udra Nu Udra α Rey Dau Rey Dau α Rey Sandbraces Rey Sandbraces α Rey Sandcoil Rey Sandcoil α Rey Sandgreaves Rey Sandgreaves α Rey Sandhelm Rey Sandhelm α Rey Sandmail Rey Sandmail α Udra Mirebraces Udra Mirebraces α Udra Mirecoil Udra Mirecoil α Udra Miregreaves Udra Miregreaves α Udra Mirehelm Udra Mirehelm α Udra Miremail Udra Miremail α Uth Duna Uth Duna α"
"Lord's Fury","1","Increases attack when inflicted with ailments.","","","","","","","Dahaad Shardbraces β Dahaad Shardcoil β Dahaad Shardgreaves β Dahaad Shardhelm β Dahaad Shardmail β Dahaad β Duna Wildbraces β Duna Wildcoil β Duna Wildgreaves β Duna Wildhelm β Duna Wildmail β Nu Udra β Rey Dau β Rey Sandbraces β Rey Sandcoil β Rey Sandgreaves β Rey Sandhelm β Rey Sandmail β Udra Mirebraces β Udra Mirecoil β Udra Miregreaves β Udra Mirehelm β Udra Miremail β Uth Duna β"
"Lucky Meal","","","","","","","","",""
"Marathon Runner","3","Reduces continuous stamina depletion by 15%.","Reduces continuous stamina depletion by 30%.","Reduces continuous stamina depletion by 50%.","","","","","Battle Greaves α Battle α Bone Bone Coil Bone Coil α Bone Helm Bone Mail Bone Mail α Bone Vambraces α Bone α Dober Coil α Dober Mail α Dober α G. Doshaguma Braces G. Doshaguma Coil G. Doshaguma Greaves Guardian Doshaguma Gypceros Greaves α Gypceros Greaves β Gypceros α Gypceros β Marathon Charm I Marathon Charm II Marathon Charm III Sprinter Jewel [1]"
"Master's Touch","1","Grants an 80% chance of no sharpness loss while active.","","","","","","","Alabaster Rathmaul Insect Glaive Albirath Blade I Charge Blade Albirath Blade II Charge Blade Albirath Blaze Splitter Switch Axe Albirath Bludgeon I Hammer Albirath Bludgeon II Hammer Albirath Edge I Sword and Shield Albirath Edge II Sword and Shield Albirath Feroce I Hunting Horn Albirath Feroce II Hunting Horn Albirath Flamesplitter I Switch Axe Albirath Flamesplitter II Switch Axe Albirath Rook I Gunlance Albirath Rook II Gunlance Albirath Tail I Lance Albirath Tail II Lance Albirath Wing I Great Sword Albirath Wing II Great Sword G. Rathalos Feroce Hunting Horn Gibil Hammer Hammer Guardian Albathos Charge Blade Guardian Rathmaul I Insect Glaive Guardian Rathmaul II Insect Glaive Mastery Jewel [3] Melting Point Sword and Shield Shining Pillar Lance Shining Rook Gunlance Twin Albiraths I Dual Blades Twin Albiraths II Dual Blades Whitefire Rathguard Great Sword Wyvern Blade ""Ash"" I Long Sword Wyvern Blade ""Ash"" II Long Sword Wyvern Blade ""Lily"" Long Sword Wyvern Sentinels Dual Blades"
"Maximum Might","3","Affinity +10% while active","Affinity +20% while active","Affinity +30% while active","","","","","Azuz Headdress α Azuz α Commission Helm α Commission α G. Fulgur Coil α G. Fulgur Mail α G. Fulgur Mail β G. Fulgur Vambraces α G. Fulgur Vambraces β Guardian Fulgur α Guardian Fulgur β Mighty Charm I Mighty Charm II Mighty Jewel [2] Rey Dau α Rey Dau β Rey Sandgreaves α Rey Sandmail α Rey Sandmail β Xu Wu Xu Wu Coil Xu Wu Helm Xu Wu Vambraces"
"Medic Meal","","Increases the amount of health recovered when healing.","","","","","","",""
"Mind's Eye","3","50% chance of your attacks not being deflected, +10% damage to…","100% chance of your attacks not being deflected, +15% damage…","100% chance of your attacks not being deflected, +30% damage…","","","","","Mind's Eye Jewel II [2] Mind's Eye Jewel [1] Mind's Eye Jwl III [3]"
"Moxie Meal (Hi)","","Prevents fainting one time and heals you when damage taken exceeds…","","","","","","",""
"Moxie Meal (Lo)","","Prevents fainting one time when damage taken exceeds your remaining…","","","","","","",""
"Mushroomancer","3","Lets you digest blue mushrooms and toadstools.","Additionally lets you digest nitroshrooms and parashrooms.","Additionally lets you digest mandragoras, devil’s blight, and…","","","","","Conga Conga Coil α Conga Coil β Conga Greaves Conga Greaves α Conga Helm Conga Mail Conga Vambraces α Conga Vambraces β Conga α Conga β Dober Greaves α Dober α Fungiform Jewel [2] Melahoa Roots α Melahoa α Mushroom Charm I Mushroom Charm II Mushroom Charm III"
"Neopteron Alert","1","Increases the amount of honey you gain from gathering points.…","","","","","","","Barina Coil Barina Coil α Barina Greaves Barina Greaves α Barina Headgear Barina Headgear α Barina Mail Barina Mail α Barina Vambraces Barina Vambraces α Bulaqchi Bulaqchi Specs Bulaqchi Specs α Bulaqchi α Comaqchi Comaqchi Accessory Comaqchi Accessory α Comaqchi α Lala Barina Lala Barina α Nerscylla Nerscylla Coil Nerscylla Coil α Nerscylla Greaves Nerscylla Greaves α Nerscylla Helm Nerscylla Helm α Nerscylla Mail Nerscylla Mail α Nerscylla Vambraces Nerscylla Vambraces α Nerscylla α Vespoid Vespoid Coil Vespoid Coil α Vespoid Greaves Vespoid Greaves α Vespoid Helm Vespoid Helm α Vespoid Mail Vespoid Mail α Vespoid Vambraces Vespoid Vambraces α Vespoid α"
"Neopteron Camouflage","1","Increases movement speed while crouching, and makes it easier…","","","","","","","Barina Coil β Barina Greaves β Barina Headgear β Barina Mail β Barina Vambraces β Bulaqchi Specs β Bulaqchi β Comaqchi Accessory β Comaqchi β Lala Barina β Nerscylla Coil β Nerscylla Greaves β Nerscylla Helm β Nerscylla Mail β Nerscylla Vambraces β Nerscylla β Vespoid Coil β Vespoid Greaves β Vespoid Helm β Vespoid Mail β Vespoid Vambraces β Vespoid β"
"Normal Shots","1","Slightly increases the power of specified ammo and arrows.","","","","","","","Forceshot Jewel [3]"
"Nu Udra's Mutiny","2","Deals moderate additional damage while the Resentment skill is…","Deals additional damage while the Resentment skill is active.…","","","","","","Nu Udra Nu Udra α Nu Udra β Udra Mirebraces Udra Mirebraces α Udra Mirebraces β Udra Mirecoil Udra Mirecoil α Udra Mirecoil β Udra Miregreaves Udra Miregreaves α Udra Miregreaves β Udra Mirehelm Udra Mirehelm α Udra Mirehelm β Udra Miremail Udra Miremail α Udra Miremail β"
"Offensive Guard","3","Attack +5% while active.","Attack +10% while active.","Attack +15% while active.","","","","","A Abaddonian Osminog Lance Ajara Gunpike I Gunlance Ajara Gunpike II Gunlance Ajara Saber I Sword and Shield Ajara Saber II Sword and Shield Ajara-Kalika Gunlance Ajara-Subinda Sword and Shield Arachnoscale I Charge Blade Arachnoscale II Charge Blade Arachnoscale III Charge Blade Arachnoscythe Charge Blade B Balahara Blade I Sword and Shield Balahara Blade II Sword and Shield Balahara Blade III Sword and Shield Balahara Blade IV Sword and Shield Balahara Exploder I Gunlance Balahara Exploder II Gunlance Balahara Exploder III Gunlance Balahara Exploder IV Gunlance Balahara Lance I Lance Balahara Lance II Lance Balahara Lance III Lance Balahara Lance IV Lance Bequeathed Enmity Charge Blade Bequeathed Regret Lance Buster Blaster Heavy Bowgun C Chthonian Firewheel I Lance Chthonian Firewheel II Lance Chthonian Flame I Charge Blade Chthonian Flame II Charge Blade D Debilitating Torpor Gunlance Dosha Gloomborer I Lance Dosha Gloomborer II Lance F Firetrail Fornax Sword and Shield G Gloomborer Urshanith Lance Guardian Jewel II [2] Guardian Jewel III [3] Guardian Jewel [1] Guardian/Blaze Jwl [3] Guardian/Bolt Jwl [3] Guardian/Dragon Jwl [3] Guardian/Frost Jwl [3] Guardian/Handicraft Jwl [3] Guardian/Ironwall Jwl [3] Guardian/Stream Jwl [3] I Immane Blade I Great Sword Immane Blade II Great Sword Immane Blade III Great Sword Immolator Blade Great Sword Indra Clairlance Lance K Kuara Clairsword Sword and Shield N Ner Bustergun I Heavy Bowgun Ner Bustergun II Heavy Bowgun Ner Bustergun III Heavy Bowgun Nu Osminog I Lance Nu Osminog II Lance P Paretic Gunlance I Gunlance Paretic Gunlance II Gunlance Paretic Gunlance III Gunlance Paretic Gunlance IV Gunlance Q Quematrice Cuchillo I Sword and Shield Quematrice Cuchillo II Sword and Shield Quematrice Cuchillo III Sword and Shield Quematrice Cuchillo IV Sword and Shield R Rey Indra I Lance Rey Indra II Lance Rey Indra III Lance Rey Kuara I Sword and Shield Rey Kuara II Sword and Shield Rey Kuara III Sword and Shield S Sandsea Katduva Sword and Shield Sandsea Prallaya Lance Sandsea Visponan Gunlance Snow Lion Jambiya Sword and Shield Snow-white Jambiya I Sword and Shield"
"Opening Shot","3","Moderately increases bowgun reload speed and attack power of…","Increases bowgun reload speed and attack power of ammo when certain…","Greatly increases bowgun reload speed and attack power of ammo…","","","","","Abaddonian Chobotnice Light Bowgun Abaddonian Muneo Heavy Bowgun Assault Conga II Light Bowgun Chata Sheller I Heavy Bowgun Chata Sheller II Heavy Bowgun Chata Sheller III Heavy Bowgun Chata Sheller IV Heavy Bowgun Combat Conga Light Bowgun Dosha Faithbreaker I Light Bowgun Dosha Faithbreaker II Light Bowgun Dosha Faithbreaker III Light Bowgun Expiating Caius Light Bowgun Faithbreaker Leibolkule Light Bowgun G. Expiating Caius Light Bowgun G. Veldian Impetum I Light Bowgun G. Veldian Impetum II Light Bowgun Hunter's Rifle I Light Bowgun Hunter's Rifle II Light Bowgun Hunter's Rifle III Light Bowgun Hunter's Rifle IV Light Bowgun Nu Chobotnice I Light Bowgun Nu Chobotnice II Light Bowgun Nu Muneo I Heavy Bowgun Nu Muneo II Heavy Bowgun Opener Jewel II [2] Opener Jewel III [3] Opener Jewel [1] Opener/Blaze Jewel [3] Opener/Bolt Jewel [3] Opener/Dragon Jewel [3] Opener/Frost Jewel [3] Opener/Ironwall Jwl [3] Opener/Precise Jewel [3] Opener/Stream Jwl [3] Power Rifle Light Bowgun Power Stinger II Heavy Bowgun Rey Szelatya I Light Bowgun Rey Szelatya II Light Bowgun Rey Szelatya III Light Bowgun Shrouded Muktana Heavy Bowgun Szelatya Clairgun Light Bowgun Tail Catapult Light Bowgun Tail String I Light Bowgun Veldian Impetum I Light Bowgun Wild Stinger Heavy Bowgun"
"Outdoorsman","1","Improves fishing, grilling, and transporting abilities.","","","","","","","Gajau Boots α Gajau α Ranger Jewel [1]"
"","","","","","","","","",""
"Palico Rally","5","Increases Palico attack power and defense by 5%.","Increases Palico attack power and defense by 10%.","Increases Palico attack power and defense by 15%.","Increases Palico attack power and defense by 20%.","Increases Palico attack power and defense by 25%.","","","Blango Vambraces α Blango α Kunafa Chaps α Kunafa Cloak α Kunafa Headgear α Kunafa Sash α Kunafa α"
"Para Functionality","1","Lets you use paralysis coatings.","","","","","","","Paracoat Jewel [3]"
"Paralysis Attack","3","Paralysis buildup +5% Bonus: +10","Paralysis buildup +10% Bonus: +20","Paralysis buildup +20% Bonus: +50","","","","","Paralyzer Jewel II [2] Paralyzer Jewel [1] Paralyzer Jwl III [3]"
"Paralysis Resistance","3","Reduces the duration of paralysis by 30%.","Reduces the duration of paralysis by 60%.","Prevents paralysis.","","","","","Antipara Jewel [1] Barina Coil α Barina Coil β Barina Headgear Barina Headgear α Barina Mail King Beetle Elytra α King Beetle Thorax α King Beetle α Lala Barina Lala Barina α Lala Barina β Melahoa Branch α Melahoa α Paralysis Charm I Paralysis Charm II Paralysis Charm III Vespoid Vespoid Coil Vespoid Coil α Vespoid Coil β Vespoid Greaves α Vespoid Vambraces Vespoid Vambraces α Vespoid Vambraces β Vespoid α Vespoid β"
"Partbreaker","3","Increases part damage and damage dealt when conditions are met…","Increases part damage and damage dealt when conditions are met…","Increases part damage and damage dealt when conditions are met…","","","","","Ajarakan Ajarakan Coil α Ajarakan Coil β Ajarakan Greaves Ajarakan Greaves α Ajarakan Greaves β Ajarakan Helm Ajarakan Mail Ajarakan Vambraces α Ajarakan Vambraces β Ajarakan α Ajarakan β Breaker Charm I Breaker Charm II Destroyer Jewel [2] G. Arkveld Helm α G. Arkveld Helm β Guardian Arkveld α Guardian Arkveld β High Metal Braces α High Metal Helm α High Metal Mail α High Metal α Kranodath Mail α Kranodath α"
"Peak Performance","5","Attack +3 while active.","Attack +6 while active.","Attack +10 while active.","Attack +15 while active.","Attack +20 while active.","","","Duna Greaves Duna Helm Duna Mail Duna Wildbraces α Duna Wildbraces β Duna Wildcoil α Duna Wildcoil β Duna Wildgreaves α Duna Wildgreaves β Flawless Jewel [2] Gravios Coil α Gravios Coil β Gravios Helm α Gravios Helm β Gravios Mail α Gravios Mail β Gravios Vambraces α Gravios Vambraces β Gravios α Gravios β Guild Ace Boots α Guild Ace Coil α Guild Ace Earrings α Guild Ace Mail α Guild Ace Vambraces α Guild Ace α Hirabami Greaves α Hirabami Greaves β Hirabami Vambraces α Hirabami α Hirabami β Unscathed Charm I Unscathed Charm II Uth Duna Uth Duna α Uth Duna β"
"Piercing Shots","1","Slightly increases the power of specified ammo and arrows.","","","","","","","Pierce Jewel [3]"
"Piping-Hot Meal","","","","","","","","",""
"Poison Attack","3","Poison buildup +5% Bonus: +10","Poison buildup +10% Bonus: +20","Poison buildup +20% Bonus: +50","","","","","Venom Jewel II [2] Venom Jewel III [3] Venom Jewel [1]"
"Poison Duration Up","1","Extends the duration of your poison’s effect by 20%.","","","","","","","Dear Lutemia Charge Blade Dear Lutemis I Charge Blade Dear Lutemis II Charge Blade Dragonmaiden Axe I Switch Axe Dragonmaiden Axe II Switch Axe Gríðr's Landmaker Switch Axe Ortlinde Gunlance Poison Jewel [2] Poison/Attack Jewel [3] Poison/Draw Jewel [3] Poison/Expert Jwl [3] Poison/Handicraft Jwl [3] Poison/Ironwall Jwl [3] Poison/KO Jewel [3] Poison/Precise Jwl [3] Princess Panoply I Gunlance Princess Panoply II Gunlance Princess Rapier I Sword and Shield Princess Rapier II Sword and Shield Princess Regalia I Insect Glaive Princess Regalia II Insect Glaive Queen Blaster I Bow Queen Blaster II Bow Queen Chordmaker Hunting Horn Queen Rapier Sword and Shield Queen Regalia Insect Glaive Queen's Farflier Heavy Bowgun Queen's Longfire I Heavy Bowgun Queen's Longfire II Heavy Bowgun Queen's Melody Bow Sieglinde Great Sword Valkyrie Blade I Great Sword Valkyrie Blade II Great Sword Valkyrie Chordmaker I Hunting Horn Valkyrie Chordmaker II Hunting Horn Valkyrie Fire I Light Bowgun Valkyrie Fire II Light Bowgun Valkyrie Flame Light Bowgun Wyvern Blade ""Holly"" Long Sword Wyvern Blade ""Verde"" I Long Sword Wyvern Blade ""Verde"" II Long Sword"
"Poison Functionality","1","Lets you use poison coatings.","","","","","","","Poisoncoat Jewel [2]"
"Poison Resistance","3","Reduces the number of times you take poison damage.","Greatly reduces the number of times you take poison damage. …","Prevents poison.","","","","","Antidote Jewel [1] Gypceros Mail α Gypceros Vambraces α Gypceros α Hope Mail α Hope α King Beetle Brachia α King Beetle Crura α King Beetle α Melahoa Hat α Melahoa α Nerscylla Nerscylla Helm α Nerscylla Mail Nerscylla Vambraces α Nerscylla α Poison Charm I Poison Charm II Poison Charm III Rompopolo Rompopolo Coil Rompopolo Mail α Rompopolo Mail β Rompopolo Vambraces Rompopolo Vambraces α Rompopolo α Rompopolo β"
"","","","","","","","","",""
