"Icon","Title","Description","How to Obtain","Defensive Stats","Skills","Forging Materials","Unlock Requirements","Alternative Appearance","Armor Set","Rarity","Price","Slot Level 1","Slot Level 2","Slot Level 3","Skill Details"
"","","","","","","","","","","","","","","",""
"","G. Doshaguma Mail β","Chest armor made from Guardian Doshaguma spoils. It instills…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Guardian's Protection Group Skills Constitution Equipment Skills","3× Guardian Doshaguma Fur+ Equipment Materials 2× Guardian Doshaguma Claw+ Equipment Materials 3× Guardian Pelt+ Equipment Materials","Guardian Doshaguma Fur+ Equipment Materials","","Guardian Doshaguma β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","2 "" /> 2","","Doshaguma's Might Lv1;Guardian's Protection Lv1;Constitution Lv2"
"","G. Ebony Braces","Armguards made from Guardian Ebony Odogaron spoils. They agitate…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Pulse Group Skills Burst Equipment Skills","2× Guardian Ebony Scale Equipment Materials 2× Guardian Ebony Sinew Equipment Materials 1× Guardian Ebony Fang Equipment Materials","Guardian Ebony Odogaron Large Monsters","","Guardian Ebony Armor Sets","Rarity 4","800 z","1 "" /> 1","","","Ebony Odogaron's Power Lv1;Guardian's Pulse Lv1;Burst Lv1"
"","G. Ebony Braces α","Armguards made from Guardian Ebony Odogaron spoils. They agitate…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Pulse Group Skills Burst Equipment Skills Divine Blessing Equipment Skills","1× G. Ebony Odogaron Certificate S Equipment Materials 2× Guardian Ebony Claw+ Equipment Materials 3× Guardian Ebony Scale+ Equipment Materials 1× Guardian Ebony Gem Equipment Materials","Guardian Ebony Scale+ Equipment Materials","","Guardian Ebony α Armor Sets","Rarity 6","5,000 z","","","","Ebony Odogaron's Power Lv1;Guardian's Pulse Lv1;Burst Lv2;Divine Blessing Lv1"
"","G. Ebony Braces β","Armguards made from Guardian Ebony Odogaron spoils. They agitate…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Protection Group Skills Burst Equipment Skills Divine Blessing Equipment Skills","1× G. Ebony Odogaron Certificate S Equipment Materials 2× Guardian Ebony Claw+ Equipment Materials 3× Guardian Ebony Scale+ Equipment Materials 1× Guardian Ebony Gem Equipment Materials","Guardian Ebony Scale+ Equipment Materials","","Guardian Ebony β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","","Ebony Odogaron's Power Lv1;Guardian's Protection Lv1;Burst Lv1;Divine Blessing Lv1"
"","G. Ebony Coil","Waistgear made from Guardian Ebony Odogaron spoils. The white…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Pulse Group Skills Burst Equipment Skills Bleeding Resistance Equipment Skills","1× G. Ebony Odogaron Certificate Equipment Materials 1× Guardian Ebony Tail Equipment Materials 1× Guardian Ebony Claw Equipment Materials 1× Guardian Ebony Plate Equipment Materials","Guardian Ebony Odogaron Large Monsters","","Guardian Ebony Armor Sets","Rarity 4","800 z","","","","Ebony Odogaron's Power Lv1;Guardian's Pulse Lv1;Burst Lv1;Bleeding Resistance Lv1"
"","G. Ebony Coil α","Waistgear made from Guardian Ebony Odogaron spoils. The white…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Pulse Group Skills Burst Equipment Skills Bleeding Resistance Equipment Skills","2× G. Ebony Odogaron Certificate S Equipment Materials 2× Guardian Ebony Fang+ Equipment Materials 2× Guardian Ebony Tail Equipment Materials 1× Guardian Ebony Plate Equipment Materials","Guardian Ebony Scale+ Equipment Materials","","Guardian Ebony α Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Ebony Odogaron's Power Lv1;Guardian's Pulse Lv1;Burst Lv1;Bleeding Resistance Lv1"
"","G. Ebony Coil β","Waistgear made from Guardian Ebony Odogaron spoils. The white…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Protection Group Skills Burst Equipment Skills","2× G. Ebony Odogaron Certificate S Equipment Materials 2× Guardian Ebony Fang+ Equipment Materials 2× Guardian Ebony Tail Equipment Materials 1× Guardian Ebony Plate Equipment Materials","Guardian Ebony Scale+ Equipment Materials","","Guardian Ebony β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","","Ebony Odogaron's Power Lv1;Guardian's Protection Lv1;Burst Lv1"
"","G. Ebony Greaves","Leg armor made from Guardian Ebony Odogaron spoils. Produces…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Pulse Group Skills Bleeding Resistance Equipment Skills","2× Guardian Ebony Scale Equipment Materials 1× Guardian Ebony Claw Equipment Materials","Guardian Ebony Odogaron Large Monsters","","Guardian Ebony Armor Sets","Rarity 4","800 z","1 "" /> 1","","","Ebony Odogaron's Power Lv1;Guardian's Pulse Lv1;Bleeding Resistance Lv1"
"","G. Ebony Greaves α","Leg armor made from Guardian Ebony Odogaron spoils. Produces…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Pulse Group Skills Earplugs Equipment Skills Divine Blessing Equipment Skills","1× G. Ebony Odogaron Certificate S Equipment Materials 5× Guardian Ebony Sinew+ Equipment Materials 4× Guardian Ebony Fang+ Equipment Materials 2× Tough Guardian Bone Equipment Materials","Guardian Ebony Scale+ Equipment Materials","","Guardian Ebony α Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Ebony Odogaron's Power Lv1;Guardian's Pulse Lv1;Earplugs Lv1;Divine Blessing Lv2"
"","G. Ebony Greaves β","Leg armor made from Guardian Ebony Odogaron spoils. Produces…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Protection Group Skills Earplugs Equipment Skills Divine Blessing Equipment Skills","1× G. Ebony Odogaron Certificate S Equipment Materials 5× Guardian Ebony Sinew+ Equipment Materials 4× Guardian Ebony Fang+ Equipment Materials 2× Tough Guardian Bone Equipment Materials","Guardian Ebony Scale+ Equipment Materials","","Guardian Ebony β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","","Ebony Odogaron's Power Lv1;Guardian's Protection Lv1;Earplugs Lv1;Divine Blessing Lv1"
"","G. Ebony Helm","Head armor made from Guardian Ebony Odogaron spoils. To don it…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Pulse Group Skills Burst Equipment Skills","1× Guardian Ebony Claw Equipment Materials 1× Guardian Ebony Fang Equipment Materials 1× Guardian Ebony Tail Equipment Materials","Guardian Ebony Odogaron Large Monsters","","Guardian Ebony Armor Sets","Rarity 4","800 z","1 "" /> 1","","","Ebony Odogaron's Power Lv1;Guardian's Pulse Lv1;Burst Lv1"
"","G. Ebony Helm α","Head armor made from Guardian Ebony Odogaron spoils. To don it…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Pulse Group Skills Burst Equipment Skills Earplugs Equipment Skills","6× Guardian Ebony Scale+ Equipment Materials 6× Guardian Ebony Sinew+ Equipment Materials 4× Guardian Ebony Claw+ Equipment Materials 3× Guardian Ebony Fang+ Equipment Materials","Guardian Ebony Scale+ Equipment Materials","","Guardian Ebony α Armor Sets","Rarity 6","5,000 z","","","","Ebony Odogaron's Power Lv1;Guardian's Pulse Lv1;Burst Lv2;Earplugs Lv1"
"","","","","","","","","","","","","","","",""
"","G. Ebony Helm β","Head armor made from Guardian Ebony Odogaron spoils. To don it…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Protection Group Skills Burst Equipment Skills","6× Guardian Ebony Scale+ Equipment Materials 6× Guardian Ebony Sinew+ Equipment Materials 4× Guardian Ebony Claw+ Equipment Materials 3× Guardian Ebony Fang+ Equipment Materials","Guardian Ebony Scale+ Equipment Materials","","Guardian Ebony β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Ebony Odogaron's Power Lv1;Guardian's Protection Lv1;Burst Lv2"
"","G. Ebony Mail","Chest armor made from Guardian Ebony Odogaron spoils. It instills…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Pulse Group Skills Bleeding Resistance Equipment Skills","2× Guardian Ebony Sinew Equipment Materials 1× Guardian Ebony Fang Equipment Materials","Guardian Ebony Odogaron Large Monsters","","Guardian Ebony Armor Sets","Rarity 4","800 z","1 "" /> 1","","","Ebony Odogaron's Power Lv1;Guardian's Pulse Lv1;Bleeding Resistance Lv1"
"","G. Ebony Mail α","Chest armor made from Guardian Ebony Odogaron spoils. It instills…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Pulse Group Skills Earplugs Equipment Skills Bleeding Resistance Equipment Skills","5× Guardian Ebony Scale+ Equipment Materials 3× Guardian Ebony Claw+ Equipment Materials 3× Guardian Scale+ Equipment Materials","Guardian Ebony Scale+ Equipment Materials","","Guardian Ebony α Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Ebony Odogaron's Power Lv1;Guardian's Pulse Lv1;Earplugs Lv1;Bleeding Resistance Lv2"
"","G. Ebony Mail β","Chest armor made from Guardian Ebony Odogaron spoils. It instills…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Ebony Odogaron's Power Set Bonus Skills Guardian's Protection Group Skills Earplugs Equipment Skills","5× Guardian Ebony Scale+ Equipment Materials 3× Guardian Ebony Claw+ Equipment Materials 3× Guardian Scale+ Equipment Materials","Guardian Ebony Scale+ Equipment Materials","","Guardian Ebony β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","2 "" /> 2","","Ebony Odogaron's Power Lv1;Guardian's Protection Lv1;Earplugs Lv1"
"","G. Fulgur Coil α","Waistgear made from Guardian Fulgur Anjanath spoils. The white…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fulgur Anjanath's Will Set Bonus Skills Guardian's Pulse Group Skills Stamina Surge Equipment Skills Maximum Might Equipment Skills","1× Guardian Fulgur Certificate S Equipment Materials 3× Guardian Fulgur Scale+ Equipment Materials 2× Guardian Fulgur Fang+ Equipment Materials 1× Guardian Fulgur Gem Equipment Materials","Guardian Fulgur Anjanath Large Monsters","","Guardian Fulgur α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","1 "" /> 1","","Fulgur Anjanath's Will Lv1;Guardian's Pulse Lv1;Stamina Surge Lv1;Maximum Might Lv1"
"","G. Fulgur Coil β","Waistgear made from Guardian Fulgur Anjanath spoils. The white…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fulgur Anjanath's Will Set Bonus Skills Guardian's Protection Group Skills Stamina Surge Equipment Skills","1× Guardian Fulgur Certificate S Equipment Materials 3× Guardian Fulgur Scale+ Equipment Materials 2× Guardian Fulgur Fang+ Equipment Materials 1× Guardian Fulgur Gem Equipment Materials","Guardian Fulgur Anjanath Large Monsters","","Guardian Fulgur β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","2 "" /> 2","","Fulgur Anjanath's Will Lv1;Guardian's Protection Lv1;Stamina Surge Lv1"
"","G. Fulgur Greaves α","Leg armor made from Guardian Fulgur Anjanath spoils. Produces…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fulgur Anjanath's Will Set Bonus Skills Guardian's Pulse Group Skills Coalescence Equipment Skills Stamina Surge Equipment Skills","6× Guardian Fulgur Scale+ Equipment Materials 6× Guardian Fulgur Pelt+ Equipment Materials 2× Guardian Fulgur Tail Equipment Materials 2× Guardian Blood+ Equipment Materials","Guardian Fulgur Anjanath Large Monsters","","Guardian Fulgur α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","","","Fulgur Anjanath's Will Lv1;Guardian's Pulse Lv1;Coalescence Lv1;Stamina Surge Lv2"
"","G. Fulgur Greaves β","Leg armor made from Guardian Fulgur Anjanath spoils. Produces…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fulgur Anjanath's Will Set Bonus Skills Guardian's Protection Group Skills Coalescence Equipment Skills Stamina Surge Equipment Skills","6× Guardian Fulgur Scale+ Equipment Materials 6× Guardian Fulgur Pelt+ Equipment Materials 2× Guardian Fulgur Tail Equipment Materials 2× Guardian Blood+ Equipment Materials","Guardian Fulgur Anjanath Large Monsters","","Guardian Fulgur β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","","Fulgur Anjanath's Will Lv1;Guardian's Protection Lv1;Coalescence Lv1;Stamina Surge Lv1"
"","G. Fulgur Helm α","Head armor made from Guardian Fulgur Anjanath spoils. To don…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fulgur Anjanath's Will Set Bonus Skills Guardian's Pulse Group Skills Agitator Equipment Skills Coalescence Equipment Skills","1× Guardian Fulgur Certificate S Equipment Materials 5× Guardian Fulgur Pelt+ Equipment Materials 4× Guardian Fulgur Nosebone+ Equipment Materials 3× Thunder Sac Equipment Materials","Guardian Fulgur Anjanath Large Monsters","","Guardian Fulgur α Armor Sets","Rarity 6","5,000 z","","","","Fulgur Anjanath's Will Lv1;Guardian's Pulse Lv1;Agitator Lv2;Coalescence Lv1"
"","G. Fulgur Helm β","Head armor made from Guardian Fulgur Anjanath spoils. To don…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fulgur Anjanath's Will Set Bonus Skills Guardian's Protection Group Skills Agitator Equipment Skills","1× Guardian Fulgur Certificate S Equipment Materials 5× Guardian Fulgur Pelt+ Equipment Materials 4× Guardian Fulgur Nosebone+ Equipment Materials 3× Thunder Sac Equipment Materials","Guardian Fulgur Anjanath Large Monsters","","Guardian Fulgur β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Fulgur Anjanath's Will Lv1;Guardian's Protection Lv1;Agitator Lv2"
"","G. Fulgur Mail α","Chest armor made from Guardian Fulgur Anjanath spoils. It instills…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fulgur Anjanath's Will Set Bonus Skills Guardian's Pulse Group Skills Maximum Might Equipment Skills Coalescence Equipment Skills","2× Guardian Fulgur Certificate S Equipment Materials 4× Guardian Fulgur Nosebone+ Equipment Materials 4× Guardian Fulgur Fang+ Equipment Materials 1× Wyvern Gem Equipment Materials","Guardian Fulgur Anjanath Large Monsters","","Guardian Fulgur α Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Fulgur Anjanath's Will Lv1;Guardian's Pulse Lv1;Maximum Might Lv1;Coalescence Lv1"
"","G. Fulgur Mail β","Chest armor made from Guardian Fulgur Anjanath spoils. It instills…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fulgur Anjanath's Will Set Bonus Skills Guardian's Protection Group Skills Maximum Might Equipment Skills","2× Guardian Fulgur Certificate S Equipment Materials 4× Guardian Fulgur Nosebone+ Equipment Materials 4× Guardian Fulgur Fang+ Equipment Materials 1× Wyvern Gem Equipment Materials","Guardian Fulgur Anjanath Large Monsters","","Guardian Fulgur β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","1 "" /> 1","Fulgur Anjanath's Will Lv1;Guardian's Protection Lv1;Maximum Might Lv1"
"","","","","","","","","","","","","","","",""
"","G. Fulgur Vambraces α","Armguards made from Guardian Fulgur Anjanath spoils. They agitate…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fulgur Anjanath's Will Set Bonus Skills Guardian's Pulse Group Skills Maximum Might Equipment Skills Agitator Equipment Skills","5× Guardian Fulgur Scale+ Equipment Materials 3× Guardian Fulgur Fang+ Equipment Materials 3× Guardian Pelt+ Equipment Materials","Guardian Fulgur Anjanath Large Monsters","","Guardian Fulgur α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","","","Fulgur Anjanath's Will Lv1;Guardian's Pulse Lv1;Maximum Might Lv1;Agitator Lv1"
"","G. Fulgur Vambraces β","Armguards made from Guardian Fulgur Anjanath spoils. They agitate…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fulgur Anjanath's Will Set Bonus Skills Guardian's Protection Group Skills Maximum Might Equipment Skills","5× Guardian Fulgur Scale+ Equipment Materials 3× Guardian Fulgur Fang+ Equipment Materials 3× Guardian Pelt+ Equipment Materials","Guardian Fulgur Anjanath Large Monsters","","Guardian Fulgur β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","2 "" /> 2","","Fulgur Anjanath's Will Lv1;Guardian's Protection Lv1;Maximum Might Lv1"
"","G. Rathalos Coil","Waistgear made from Guardian Rathalos spoils. The white areas…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Pulse Group Skills Intimidator Equipment Skills","2× Guardian Rathalos Scale Equipment Materials 1× Guardian Rathalos Webbing Equipment Materials","Repel the Guardian Arkveld Assignments","","Guardian Rathalos Large Monsters","Rarity 4","800 z","1 "" /> 1","","","Rathalos's Flare Lv1;Guardian's Pulse Lv1;Intimidator Lv1"
"","G. Rathalos Coil α","Waistgear made from Guardian Rathalos spoils. The white areas…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Pulse Group Skills Weakness Exploit Equipment Skills Windproof Equipment Skills","6× Guardian Rathalos Scale+ Equipment Materials 6× Guardian Rathalos Carapace Equipment Materials 2× Guardian Rathalos Wing Equipment Materials 2× Guardian Rathalos Tail Equipment Materials","Guardian Rathalos Scale+ Equipment Materials","","Guardian Rathalos α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","1 "" /> 1","","Rathalos's Flare Lv1;Guardian's Pulse Lv1;Weakness Exploit Lv1;Windproof Lv1"
"","G. Rathalos Coil β","Waistgear made from Guardian Rathalos spoils. The white areas…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Protection Group Skills Windproof Equipment Skills","6× Guardian Rathalos Scale+ Equipment Materials 6× Guardian Rathalos Carapace Equipment Materials 2× Guardian Rathalos Wing Equipment Materials 2× Guardian Rathalos Tail Equipment Materials","Guardian Rathalos Scale+ Equipment Materials","","Guardian Rathalos β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","2 "" /> 2","1 "" /> 1","Rathalos's Flare Lv1;Guardian's Protection Lv1;Windproof Lv1"
"","G. Rathalos Greaves","Leg armor made from Guardian Rathalos spoils. Produces a faint…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Pulse Group Skills Weakness Exploit Equipment Skills","1× Guardian Rathalos Webbing Equipment Materials 1× Guardian Rathalos Tail Equipment Materials 1× Guardian Scale Equipment Materials","Repel the Guardian Arkveld Assignments","","Guardian Rathalos Large Monsters","Rarity 4","800 z","1 "" /> 1","","","Rathalos's Flare Lv1;Guardian's Pulse Lv1;Weakness Exploit Lv1"
"","G. Rathalos Greaves α","Leg armor made from Guardian Rathalos spoils. Produces a faint…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Pulse Group Skills Weakness Exploit Equipment Skills Windproof Equipment Skills","2× G. Rathalos Certificate S Equipment Materials 2× Guardian Rathalos Wing Equipment Materials 1× Guardian Rathalos Plate Equipment Materials 5× Inferno Sac Equipment Materials","Guardian Rathalos Scale+ Equipment Materials","","Guardian Rathalos α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","","","Rathalos's Flare Lv1;Guardian's Pulse Lv1;Weakness Exploit Lv1;Windproof Lv2"
"","G. Rathalos Greaves β","Leg armor made from Guardian Rathalos spoils. Produces a faint…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Protection Group Skills Weakness Exploit Equipment Skills Windproof Equipment Skills","2× G. Rathalos Certificate S Equipment Materials 2× Guardian Rathalos Wing Equipment Materials 1× Guardian Rathalos Plate Equipment Materials 5× Inferno Sac Equipment Materials","Guardian Rathalos Scale+ Equipment Materials","","Guardian Rathalos β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Rathalos's Flare Lv1;Guardian's Protection Lv1;Weakness Exploit Lv1;Windproof Lv1"
"","G. Rathalos Helm","Head armor made from Guardian Rathalos spoils. To don it is to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Pulse Group Skills Weakness Exploit Equipment Skills Intimidator Equipment Skills","1× G. Rathalos Certificate Equipment Materials 2× Guardian Rathalos Scale Equipment Materials 1× Guardian Rathalos Shell Equipment Materials 1× Guardian Rathalos Plate Equipment Materials","Repel the Guardian Arkveld Assignments","","Guardian Rathalos Large Monsters","Rarity 4","800 z","","","","Rathalos's Flare Lv1;Guardian's Pulse Lv1;Weakness Exploit Lv1;Intimidator Lv1"
"","G. Rathalos Helm α","Head armor made from Guardian Rathalos spoils. To don it is to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Pulse Group Skills Weakness Exploit Equipment Skills Survival Expert Equipment Skills","1× G. Rathalos Certificate S Equipment Materials 5× Guardian Rathalos Carapace Equipment Materials 2× Guardian Rathalos Wing Equipment Materials 1× Novacrystal Equipment Materials","Guardian Rathalos Scale+ Equipment Materials","","Guardian Rathalos α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","1 "" /> 1","","Rathalos's Flare Lv1;Guardian's Pulse Lv1;Weakness Exploit Lv1;Survival Expert Lv2"
"","G. Rathalos Helm β","Head armor made from Guardian Rathalos spoils. To don it is to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Protection Group Skills Weakness Exploit Equipment Skills","1× G. Rathalos Certificate S Equipment Materials 5× Guardian Rathalos Carapace Equipment Materials 2× Guardian Rathalos Wing Equipment Materials 1× Novacrystal Equipment Materials","Guardian Rathalos Scale+ Equipment Materials","","Guardian Rathalos β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","2 "" /> 2","","Rathalos's Flare Lv1;Guardian's Protection Lv1;Weakness Exploit Lv1"
"","G. Rathalos Mail","Chest armor made from Guardian Rathalos spoils. It instills a…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Pulse Group Skills Intimidator Equipment Skills","2× Guardian Rathalos Shell Equipment Materials 1× Guardian Rathalos Webbing Equipment Materials","Repel the Guardian Arkveld Assignments","","Guardian Rathalos Large Monsters","Rarity 4","800 z","1 "" /> 1","","","Rathalos's Flare Lv1;Guardian's Pulse Lv1;Intimidator Lv1"
"","","","","","","","","","","","","","","",""
"","G. Rathalos Mail α","Chest armor made from Guardian Rathalos spoils. It instills a…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Pulse Group Skills Weakness Exploit Equipment Skills Intimidator Equipment Skills","5× Guardian Rathalos Scale+ Equipment Materials 2× Guardian Rathalos Wing Equipment Materials 3× Guardian Scale+ Equipment Materials","Guardian Rathalos Scale+ Equipment Materials","","Guardian Rathalos α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","","","Rathalos's Flare Lv1;Guardian's Pulse Lv1;Weakness Exploit Lv1;Intimidator Lv2"
"","G. Rathalos Mail β","Chest armor made from Guardian Rathalos spoils. It instills a…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Protection Group Skills Weakness Exploit Equipment Skills Intimidator Equipment Skills","5× Guardian Rathalos Scale+ Equipment Materials 2× Guardian Rathalos Wing Equipment Materials 3× Guardian Scale+ Equipment Materials","Guardian Rathalos Scale+ Equipment Materials","","Guardian Rathalos β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Rathalos's Flare Lv1;Guardian's Protection Lv1;Weakness Exploit Lv1;Intimidator Lv1"
"","G. Rathalos Vambraces","Armguards made from Guardian Rathalos spoils. They agitate the…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Pulse Group Skills Weakness Exploit Equipment Skills","2× Guardian Rathalos Scale Equipment Materials 2× Guardian Rathalos Shell Equipment Materials 1× Guardian Rathalos Tail Equipment Materials","Repel the Guardian Arkveld Assignments","","Guardian Rathalos Large Monsters","Rarity 4","800 z","1 "" /> 1","","","Rathalos's Flare Lv1;Guardian's Pulse Lv1;Weakness Exploit Lv1"
"","G. Rathalos Vambraces α","Armguards made from Guardian Rathalos spoils. They agitate the…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Pulse Group Skills Weakness Exploit Equipment Skills Intimidator Equipment Skills Survival Expert Equipment Skills","1× G. Rathalos Certificate S Equipment Materials 6× Guardian Rathalos Scale+ Equipment Materials 5× Guardian Rathalos Carapace Equipment Materials 1× Guardian Rathalos Ruby Equipment Materials","Guardian Rathalos Scale+ Equipment Materials","","Guardian Rathalos α Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Rathalos's Flare Lv1;Guardian's Pulse Lv1;Weakness Exploit Lv1;Intimidator Lv1;Survival Expert Lv1"
"","G. Rathalos Vambraces β","Armguards made from Guardian Rathalos spoils. They agitate the…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Guardian's Protection Group Skills Weakness Exploit Equipment Skills","1× G. Rathalos Certificate S Equipment Materials 6× Guardian Rathalos Scale+ Equipment Materials 5× Guardian Rathalos Carapace Equipment Materials 1× Guardian Rathalos Ruby Equipment Materials","Guardian Rathalos Scale+ Equipment Materials","","Guardian Rathalos β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","1 "" /> 1","Rathalos's Flare Lv1;Guardian's Protection Lv1;Weakness Exploit Lv1"
"","G. Seikret Coil","Guardian Seikret waistgear. The long, white feathers produce…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Guardian's Pulse Group Skills Jump Master Equipment Skills","2× Guardian Seikret Feather Equipment Materials 1× Tough Guardian Bone Equipment Materials","Repel the Guardian Arkveld Assignments","","Guardian Seikret Small Monsters","Rarity 4","700 z","1 "" /> 1","","","Guardian's Pulse Lv1;Jump Master Lv1"
"","G. Seikret Coil α","Guardian Seikret waistgear. The long, white feathers produce…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Guardian's Pulse Group Skills Jump Master Equipment Skills Earplugs Equipment Skills","4× Guardian Seikret Feather+ Equipment Materials 4× Tough Guardian Bone Equipment Materials","Thundering Flowers Assignments","","Guardian Seikret α Armor Sets","Rarity 6","4,000 z","1 "" /> 1","","","Guardian's Pulse Lv1;Jump Master Lv1;Earplugs Lv2"
"","G. Seikret Coil β","Guardian Seikret waistgear. The long, white feathers produce…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Guardian's Protection Group Skills Jump Master Equipment Skills Earplugs Equipment Skills","4× Guardian Seikret Feather+ Equipment Materials 4× Tough Guardian Bone Equipment Materials","Thundering Flowers Assignments","","Guardian Seikret β Armor Sets","Rarity 6","4,000 z","2 "" /> 2","1 "" /> 1","","Guardian's Protection Lv1;Jump Master Lv1;Earplugs Lv1"
