"Icon","Title","Description","Crafting Recipe","Where to Find","Other Info","Rewarded From","Used to Craft","Unlocks","Food Bonus","Food Skill","Rarity","Carry Max","Sell Price","Buy Price"
"","Xu Wu Claw","A claw from a Xu Wu. Sharp as a knife and able to pierce prey…","","","","","Nihil Bow I Bow Nihil Chord I Hunting Horn Nihil Great Sword I Great Sword Nihil Hammer I Hammer Nihil Switch Axe I Switch Axe Nihil Sword I Sword and Shield Surge Charm I Level 1 Xu Wu Coil Waist Xu Wu Greaves Legs Xu Wu Vambraces Arms","","","","Rarity 4","99","1,044 z","10,440 z"
"","Xu Wu Fang","A fang from a Xu Wu. Tough enough to crush any matter of prey.…","","","","","Descent Charm I Level 1 Nihil Bow I Bow Nihil Chord I Hunting Horn Nihil Great Sword I Great Sword Nihil Hammer I Hammer Nihil Switch Axe I Switch Axe Nihil Sword I Sword and Shield Xu Wu Greaves Legs Xu Wu Helm Head","","","","Rarity 4","99","1,276 z","12,760 z"
"","Xu Wu Cerebrospinal Fluid","Cerebrospinal fluid from a Xu Wu. A great deal of energy is concealed…","","","","","Nihil Bow II Bow Nihil Chord II Hunting Horn Nihil Great Sword II Great Sword Nihil Hammer II Hammer Nihil Switch Axe II Switch Axe Nihil Sword II Sword and Shield Surge Charm I Level 1 Xu Wu Coil Waist Xu Wu Helm α Head Xu Wu Helm β Head","","","","Rarity 5","99","3,480 z","34,800 z"
"","Xu Wu Certificate","A Guild certificate awarded to those who have hunted a Xu Wu.…","","","","","Xu Wu Coil Waist","Felyne Xu Wu Orb Weapons Felyne Xu Wu Suit Body Felyne Xu Wu Veil Head","","","Rarity 4","99","580 z","5,800 z"
"","Xu Wu Hide+","A high-quality Xu Wu hide. Tough enough to repel a Guardian’s…","","","","","Felyne Xu Wu Suit α Body Xu Wu Coil α Waist Xu Wu Coil β Waist Xu Wu Mail α Chest Xu Wu Mail β Chest Xu Wu Vambraces α Arms Xu Wu Vambraces β Arms","Descent Charm II Level 2 Surge Charm III Level 3 Xu Wu Coil α Waist Xu Wu Coil β Waist Xu Wu Greaves α Legs Xu Wu Greaves β Legs Xu Wu Helm α Head Xu Wu Helm β Head Xu Wu Mail α Chest Xu Wu Mail β Chest Xu Wu Vambraces α Arms Xu Wu Vambraces β Arms","","","Rarity 6","99","1,820 z","18,200 z"
"","Golden Corneum+","A glittering golden corneum of a Xu Wu. Further hardened by its…","","","","","Bookwilthe's Punisher Bow Brutus's Abolishment Switch Axe Cordayle's Revocation Sword and Shield Descent Charm II Level 2 Felyne Xu Wu Veil α Head Kae-Jin's Lament Hunting Horn Prinvrilo's Dissolution Great Sword Surge Charm III Level 3 Xu Wu Greaves α Legs Xu Wu Greaves β Legs Xu Wu Vambraces α Arms Xu Wu Vambraces β Arms Zaccio's Execution Hammer","","","","Rarity 6","99","2,730 z","27,300 z"
"","Xu Wu Tentacle+","A high-quality Xu Wu tentacle. Continues to squirm while being…","","","","","Bookwilthe's Punisher Bow Brutus's Abolishment Switch Axe Cordayle's Revocation Sword and Shield Descent Charm II Level 2 Felyne Xu Wu Orb α Weapons Kae-Jin's Lament Hunting Horn Phoenix Charm I Level 1 Prinvrilo's Dissolution Great Sword Xu Wu Greaves α Legs Xu Wu Greaves β Legs Xu Wu Helm α Head Xu Wu Helm β Head Zaccio's Execution Hammer","","","","Rarity 6","99","4,004 z","40,040 z"
"","Xu Wu Claw+","A sharp claw from a Xu Wu. It’s longer and keener, allowing it…","","","","","Grit Charm III Level 3 Nihil Bow II Bow Nihil Chord II Hunting Horn Nihil Great Sword II Great Sword Nihil Hammer II Hammer Nihil Switch Axe II Switch Axe Nihil Sword II Sword and Shield Surge Charm III Level 3 Xu Wu Coil α Waist Xu Wu Coil β Waist Xu Wu Mail α Chest Xu Wu Mail β Chest Xu Wu Vambraces α Arms Xu Wu Vambraces β Arms","","","","Rarity 6","99","3,276 z","32,760 z"
,,,,,,,,,,,,,,
"","Xu Wu Fang+","A sharp fang from a Xu Wu. Dyed with the blood of all the prey…","","","","","Descent Charm II Level 2 Nihil Bow II Bow Nihil Chord II Hunting Horn Nihil Great Sword II Great Sword Nihil Hammer II Hammer Nihil Switch Axe II Switch Axe Nihil Sword II Sword and Shield Xu Wu Helm α Head Xu Wu Helm β Head Xu Wu Vambraces α Arms Xu Wu Vambraces β Arms","","","","Rarity 6","99","3,640 z","36,400 z"
"","Xu Wu Umbragem","A rare jewel developed within a Xu Wu’s body. Harbors a deep…","","","","","Bookwilthe's Punisher Bow Brutus's Abolishment Switch Axe Cordayle's Revocation Sword and Shield Descent Charm II Level 2 Grit Charm III Level 3 Kae-Jin's Lament Hunting Horn Mighty Charm II Level 2 Prinvrilo's Dissolution Great Sword Surge Charm III Level 3 Xu Wu Mail α Chest Xu Wu Mail β Chest Zaccio's Execution Hammer","","","","Rarity 7","99","10,920 z","109,200 z"
"","Guardian Scale","Contains an unknown substance. It has lost any color it previously…","","","","Guardian Zoh Shia Assignments His Eternal Reign Optional Quests Red Eyes in the Night Optional Quests Repel the Guardian Arkveld Assignments The Ashen King Assignments The Pale Dream of a Lone Shadow Assignments Watcher of the Ancient Capital Assignments","Chainblade Charm I Level 1 Chainmail Armor α Chest Chainmail Belt α Waist Chainmail Gloves α Arms Chainmail Headgear α Head Chainmail Pants α Legs Duna Mail Chest F Guardian Ark Mail Body Felyne Dau Naginata Weapons Felyne Duna Spear Weapons Felyne Udra Vessel Weapons G. Arkveld Helm Head G. Arkveld Vambraces Arms G. Rathalos Greaves Legs G. Veldian Arcum I Bow G. Veldian Ensis I Long Sword G. Veldian Gladius I Great Sword G. Veldian Harpes I Dual Blades G. Veldian Hasta I Gunlance G. Veldian Impetum I Light Bowgun G. Veldian Labrys I Charge Blade G. Veldian Lancea I Lance G. Veldian Malleus I Hammer G. Veldian Mucro I Sword and Shield G. Veldian Securis I Switch Axe G. Veldian Sibilus I Hunting Horn G. Veldian Tormentum I Heavy Bowgun G. Veldian Trudis I Insect Glaive Rey Sandbraces Arms Udra Mirecoil Waist","","","","Rarity 4","99","500 z","5,000 z"
"","Guardian Scale+","A high-quality Guardian scale. Sparkles like snow, as if it had…","","Guardian Scale+ can be obtained from destroying the wounds of…","","Purrfect Plundering Optional Quests The King's Triumphant Return Optional Quests White Wails Optional Quests","Alabaster Rathmaul Insect Glaive Albirath Blaze Splitter Switch Axe Bequeathed Animus Light Bowgun Bequeathed Enmity Charge Blade Bequeathed Oblivion Dual Blades Bequeathed Regret Lance Bequeathed Testament Insect Glaive Damascus Coil α Waist Damascus Greaves α Legs F Guardian Ark Mail α Body G. Arkveld Greaves α Legs G. Arkveld Greaves β Legs G. Ebony Mail α Chest G. Ebony Mail β Chest G. Rathalos Feroce Hunting Horn G. Rathalos Mail α Chest G. Rathalos Mail β Chest G. Veldian Arcum II Bow G. Veldian Ensis II Long Sword G. Veldian Gladius II Great Sword G. Veldian Harpes II Dual Blades G. Veldian Hasta II Gunlance G. Veldian Impetum II Light Bowgun G. Veldian Labrys II Charge Blade G. Veldian Lancea II Lance G. Veldian Malleus II Hammer G. Veldian Mucro II Sword and Shield G. Veldian Securis II Switch Axe G. Veldian Sibilus II Hunting Horn G. Veldian Tormentum II Heavy Bowgun G. Veldian Trudis II Insect Glaive Gibil Hammer Hammer Guardian Albathos Charge Blade Guild Ace Mail α Chest Melting Point Sword and Shield Shining Pillar Lance Shining Rook Gunlance Solar Spicule Bow White Rathling Phoenix Light Bowgun Whitefire Rathguard Great Sword Wyvern Blade ""Lily"" Long Sword Wyvern Sentinels Dual Blades","","","","Rarity 6","99","1,500 z","15,000 z"
"","Arkveld Tail","The tail of an Arkveld. Highly prized for the thick muscle hidden…","","","","","Arkvulcan Greaves α Legs Arkvulcan Greaves β Legs G. Abiding Gawain Charge Blade G. Aeternal Palamedes Heavy Bowgun G. Enduring Tor Insect Glaive G. Expiating Caius Light Bowgun G. Exultant Bedivere Hammer G. Guiding Artorius Sword and Shield G. Indomitable Perceval Switch Axe G. Inspired Ywain Dual Blades G. Lawful Bors Gunlance G. Purifying Beaumains Lance G. Renowned Tristram Bow G. Resounding Galahad Hunting Horn G. Righteous Lancelot Long Sword G. Stalwart Lamorak Great Sword Imbibe Charm I Level 1","","","","Rarity 6","99","6,000 z","60,000 z"
"","Arkveld Scale+","A high-quality Arkveld scale. Despite being incredibly dense…","","","","","Arkvulcan Greaves α Legs Arkvulcan Greaves β Legs Arkvulcan Helm α Head Arkvulcan Helm β Head Arkvulcan Mail α Chest Arkvulcan Mail β Chest Blight Charm II Level 2 Convert Charm I Level 1 Felyne Arkveld Mail α Body G. Arkveld Coil α Waist G. Arkveld Coil β Waist G. Arkveld Helm α Head G. Arkveld Helm β Head Veldian Arcum I Bow Veldian Ensis I Long Sword Veldian Gladius I Great Sword Veldian Harpes I Dual Blades Veldian Hasta I Gunlance Veldian Impetum I Light Bowgun Veldian Labrys I Charge Blade Veldian Lancea I Lance Veldian Malleus I Hammer Veldian Mucro I Sword and Shield Veldian Securis I Switch Axe Veldian Sibilus I Hunting Horn Veldian Tormentum I Heavy Bowgun Veldian Trudis I Insect Glaive","","","","Rarity 6","99","3,000 z","30,000 z"
"","Arkveld Armorplate","A durable Arkveld carapace. Named for how its scales overlap…","","","","","Abiding Gawain Charge Blade Aeternal Palamedes Heavy Bowgun Arkvulcan Coil α Waist Arkvulcan Coil β Waist Arkvulcan Greaves α Legs Arkvulcan Greaves β Legs Arkvulcan Helm α Head Arkvulcan Helm β Head Arkvulcan Mail α Chest Arkvulcan Mail β Chest Chainblade Charm II Level 2 Enduring Tor Insect Glaive Expiating Caius Light Bowgun Exultant Bedivere Hammer G. Arkveld Greaves α Legs G. Arkveld Greaves β Legs G. Arkveld Vambraces α Arms G. Arkveld Vambraces β Arms Guiding Artorius Sword and Shield Indomitable Perceval Switch Axe Inspired Ywain Dual Blades Lawful Bors Gunlance Purifying Beaumains Lance Renowned Tristram Bow Resounding Galahad Hunting Horn Righteous Lancelot Long Sword Stalwart Lamorak Great Sword","","","","Rarity 6","99","4,500 z","45,000 z"
"","White Arkveld Pelt","A white Arkveld pelt. Strong, naturally twining strands create…","","","","","Arkvulcan Coil α Waist Arkvulcan Coil β Waist Arkvulcan Helm α Head Arkvulcan Helm β Head Blight Charm II Level 2 Felyne Arkveld Helm α Head G. Arkveld Mail α Chest G. Arkveld Mail β Chest G. Arkveld Vambraces α Arms G. Arkveld Vambraces β Arms Imbibe Charm I Level 1 Veldian Arcum I Bow Veldian Ensis I Long Sword Veldian Gladius I Great Sword Veldian Harpes I Dual Blades Veldian Hasta I Gunlance Veldian Impetum I Light Bowgun Veldian Labrys I Charge Blade Veldian Lancea I Lance Veldian Malleus I Hammer Veldian Mucro I Sword and Shield Veldian Securis I Switch Axe Veldian Sibilus I Hunting Horn Veldian Tormentum I Heavy Bowgun Veldian Trudis I Insect Glaive","","","","Rarity 6","99","5,400 z","54,000 z"
"","Arkveld Calloushell","A linked Arkveld carapace that is connected by flexible sinew,…","","","","","Arkvulcan Greaves α Legs Arkvulcan Greaves β Legs Arkvulcan Mail α Chest Arkvulcan Mail β Chest Arkvulcan Vambraces α Arms Arkvulcan Vambraces β Arms Chainblade Charm II Level 2 Felyne Arkveld Sword α Weapons G. Abiding Gawain Charge Blade G. Aeternal Palamedes Heavy Bowgun G. Arkveld Coil α Waist G. Arkveld Coil β Waist G. Enduring Tor Insect Glaive G. Expiating Caius Light Bowgun G. Exultant Bedivere Hammer G. Guiding Artorius Sword and Shield G. Indomitable Perceval Switch Axe G. Inspired Ywain Dual Blades G. Lawful Bors Gunlance G. Purifying Beaumains Lance G. Renowned Tristram Bow G. Resounding Galahad Hunting Horn G. Righteous Lancelot Long Sword G. Stalwart Lamorak Great Sword","","","","Rarity 6","99","6,000 z","60,000 z"
"","Arkveld Horn+","A sharp, pointed Arkveld horn. So menacing, its mere sight dispirits…","","","","","Abiding Gawain Charge Blade Aeternal Palamedes Heavy Bowgun Arkvulcan Helm α Head Arkvulcan Helm β Head Arkvulcan Vambraces α Arms Arkvulcan Vambraces β Arms Convert Charm I Level 1 Enduring Tor Insect Glaive Expiating Caius Light Bowgun Exultant Bedivere Hammer Guiding Artorius Sword and Shield Indomitable Perceval Switch Axe Inspired Ywain Dual Blades Lawful Bors Gunlance Purifying Beaumains Lance Renowned Tristram Bow Resounding Galahad Hunting Horn Righteous Lancelot Long Sword Stalwart Lamorak Great Sword","","","","Rarity 6","99","6,600 z","66,000 z"
"","Arkveld Gem","A mysterious gem that formed inside an Arkveld. Its pulsating…","","","","","Abiding Gawain Charge Blade Aeternal Palamedes Heavy Bowgun Arkvulcan Coil α Waist Arkvulcan Coil β Waist Chainblade Charm II Level 2 Convert Charm I Level 1 Enduring Tor Insect Glaive Expiating Caius Light Bowgun Exploiter Charm II Level 2 Exultant Bedivere Hammer G. Abiding Gawain Charge Blade G. Aeternal Palamedes Heavy Bowgun G. Arkveld Mail α Chest G. Arkveld Mail β Chest G. Enduring Tor Insect Glaive G. Expiating Caius Light Bowgun G. Exultant Bedivere Hammer G. Guiding Artorius Sword and Shield G. Indomitable Perceval Switch Axe G. Inspired Ywain Dual Blades G. Lawful Bors Gunlance G. Purifying Beaumains Lance G. Renowned Tristram Bow G. Resounding Galahad Hunting Horn G. Righteous Lancelot Long Sword G. Stalwart Lamorak Great Sword Guiding Artorius Sword and Shield Imbibe Charm I Level 1 Indomitable Perceval Switch Axe Inspired Ywain Dual Blades Lawful Bors Gunlance Purifying Beaumains Lance Renowned Tristram Bow Resounding Galahad Hunting Horn Righteous Lancelot Long Sword Stalwart Lamorak Great Sword","","","","Rarity 7","99","18,000 z","180,000 z"
"","Arkveld Certificate S","A Guild certificate awarded to those who have hunted an Arkveld.…","","","","","Arkvulcan Coil α Waist Arkvulcan Coil β Waist Arkvulcan Mail α Chest Arkvulcan Mail β Chest Arkvulcan Vambraces α Arms Arkvulcan Vambraces β Arms Veldian Arcum I Bow Veldian Ensis I Long Sword Veldian Gladius I Great Sword Veldian Harpes I Dual Blades Veldian Hasta I Gunlance Veldian Impetum I Light Bowgun Veldian Labrys I Charge Blade Veldian Lancea I Lance Veldian Malleus I Hammer Veldian Mucro I Sword and Shield Veldian Securis I Switch Axe Veldian Sibilus I Hunting Horn Veldian Tormentum I Heavy Bowgun Veldian Trudis I Insect Glaive","Felyne Arkveld Helm α Head Felyne Arkveld Mail α Body Felyne Arkveld Sword α Weapons","","","Rarity 6","99","3,000 z","30,000 z"
"","Drearisite Scraps","Metal scraps manufactured in Azuz. Can be used as a material…","","","","","High Metal Braces α Arms High Metal Coil α Waist High Metal Greaves α Legs High Metal Helm α Head High Metal Mail α Chest","High Metal Braces α Arms High Metal Coil α Waist High Metal Greaves α Legs High Metal Helm α Head High Metal Mail α Chest","","","Rarity 6","99","200 z","2,000 z"
"","Scarred Scale","A material found in the Iceshard Cliffs. Despite its scarring,…","","","","","Battle Coil α Waist Battle Greaves α Legs Battle Helm α Head Battle Mail α Chest Battle Vambraces α Arms","Battle Coil α Waist Battle Greaves α Legs Battle Helm α Head Battle Mail α Chest Battle Vambraces α Arms","","","Rarity 6","99","200 z","2,000 z"
"","Nerscylla Shear","A flexible, venomous Nerscylla fang. Beware its lethal poison…","","","","","Arachnoscale III Charge Blade Blood Cry III Long Sword Chain Charm I Level 1 Cluster Hammer III Hammer Dragon Charm III Level 3 Immane Blade III Great Sword Mighty Charm I Level 1 Ner Bustergun III Heavy Bowgun Nerscylla Helm α Head Nerscylla Helm β Head Nerscylla Mail α Chest Nerscylla Mail β Chest Nerscylla Vambraces α Arms Nerscylla Vambraces β Arms Sanity Charm I Level 1 Scaly Sword III Sword and Shield Scylla Fist III Bow Shell Gunberd III Gunlance Sleep Charm III Level 3 Stealth Glaive III Insect Glaive","","","","Rarity 6","99","1,980 z","19,800 z"
"","Guardian Fulgur Scale+","A high-quality Guardian Fulgur Anjanath scale. Surprisingly heavy,…","","","","","F Guardian Fulgur Helm α Head G. Fulgur Coil α Waist G. Fulgur Coil β Waist G. Fulgur Greaves α Legs G. Fulgur Greaves β Legs G. Fulgur Vambraces α Arms G. Fulgur Vambraces β Arms Marathon Charm III Level 3","Glutton's Charm III Level 3 Sheathe Charm III Level 3","","","Rarity 6","99","1,600 z","16,000 z"
"","Guardian Fulgur Pelt+","A high-quality Guardian Fulgur Anjanath pelt. Wild patterns have…","","","","","Blight Charm I Level 1 F Guardian Fulgur Mail α Body Fulgurblade Guardiana Long Sword Fulgurblast Guardiana Heavy Bowgun Fulgurbow Guardiana Bow Fulgurcannon Guardiana Gunlance Fulgurcleaver Guardiana Great Sword Fulgurglaive Guardiana Insect Glaive Fulgurhammer Guardiana Hammer Fulgurhowl Guardiana Hunting Horn Fulgursnipe Guardiana Light Bowgun Fulgurswitch Guardiana Switch Axe Fulgursword Guardiana Sword and Shield Fulgurtwins Guardiana Dual Blades G. Fulgur Greaves α Legs G. Fulgur Greaves β Legs G. Fulgur Helm α Head G. Fulgur Helm β Head","","","","Rarity 6","99","2,400 z","24,000 z"
"","Guardian Fulgur Fang+","A sharp fang from a Guardian Fulgur Anjanath. Built to withstand…","","","","","Blinding Fulgur I Bow Crashing Fulgur I Hammer Deafening Fulgur I Hunting Horn Felling Fulgur I Light Bowgun G. Fulgur Coil α Waist G. Fulgur Coil β Waist G. Fulgur Mail α Chest G. Fulgur Mail β Chest G. Fulgur Vambraces α Arms G. Fulgur Vambraces β Arms Glutton's Charm III Level 3 Gnashing Fulgur I Long Sword Grounding Fulgur I Heavy Bowgun Marathon Charm III Level 3 Morphing Fulgur I Switch Axe Rending Fulgur I Sword and Shield Rising Fulgur I Insect Glaive Sheathe Charm III Level 3 Smiting Fulgur I Great Sword Warring Fulgur I Gunlance Whirling Fulgur I Dual Blades","","","","Rarity 6","99","2,800 z","28,000 z"
"","Guardian Fulgur Nosebone+","The nasal bone of a Guardian Fulgur Anjanath. The mucus from…","","","","","F Guardian Fulgur Maul α Weapons Fulgurblade Guardiana Long Sword Fulgurblast Guardiana Heavy Bowgun Fulgurbow Guardiana Bow Fulgurcannon Guardiana Gunlance Fulgurcleaver Guardiana Great Sword Fulgurglaive Guardiana Insect Glaive Fulgurhammer Guardiana Hammer Fulgurhowl Guardiana Hunting Horn Fulgursnipe Guardiana Light Bowgun Fulgurswitch Guardiana Switch Axe Fulgursword Guardiana Sword and Shield Fulgurtwins Guardiana Dual Blades G. Fulgur Helm α Head G. Fulgur Helm β Head G. Fulgur Mail α Chest G. Fulgur Mail β Chest Sheathe Charm III Level 3","","","","Rarity 6","99","3,520 z","35,200 z"
"","Guardian Fulgur Tail","A Guardian Fulgur Anjanath tail. Packed with thick muscles that…","","","","","Blinding Fulgur I Bow Crashing Fulgur I Hammer Deafening Fulgur I Hunting Horn Felling Fulgur I Light Bowgun G. Fulgur Greaves α Legs G. Fulgur Greaves β Legs Gnashing Fulgur I Long Sword Grounding Fulgur I Heavy Bowgun Morphing Fulgur I Switch Axe Rending Fulgur I Sword and Shield Rising Fulgur I Insect Glaive Smiting Fulgur I Great Sword Warring Fulgur I Gunlance Whirling Fulgur I Dual Blades","","","","Rarity 6","99","3,200 z","32,000 z"
"","Guardian Fulgur Gem","A rare jewel that developed within a Guardian Fulgur Anjanath.…","","","","","Fulgurblade Guardiana Long Sword Fulgurblast Guardiana Heavy Bowgun Fulgurbow Guardiana Bow Fulgurcannon Guardiana Gunlance Fulgurcleaver Guardiana Great Sword Fulgurglaive Guardiana Insect Glaive Fulgurhammer Guardiana Hammer Fulgurhowl Guardiana Hunting Horn Fulgursnipe Guardiana Light Bowgun Fulgurswitch Guardiana Switch Axe Fulgursword Guardiana Sword and Shield Fulgurtwins Guardiana Dual Blades G. Fulgur Coil α Waist G. Fulgur Coil β Waist Marathon Charm III Level 3 Mushroom Charm III Level 3 Power Charm II Level 2 Sheathe Charm III Level 3","","","","Rarity 7","99","9,600 z","96,000 z"
"","Herbivore Carapace","A thick carapace from an herbivore. Even the smallest ones are…","","","","","Death Stench Bowels α Waist Death Stench Heel α Legs Doshaguma Mail α Chest Doshaguma Mail β Chest Evasion Charm II Level 2 Survival Charm II Level 2","","","","Rarity 6","99","425 z","4,250 z"
"","Bulaqchi Carapace","A high-quality Bulaqchi carapace. Easy to process and incredibly…","","","","","Bulaqchi Specs α Head Bulaqchi Specs β Head Rey Sandhelm α Head Rey Sandhelm β Head Sonic Horn III Hunting Horn","","","","Rarity 6","99","425 z","4,250 z"
"","Monster Fluid","A liquid bugs suck from monsters. Mixes with insect fluids to…","","","","","Alucanid Kinsects Barina Greaves Legs Bone Axe II Switch Axe Bone Blade II Great Sword Bone Bludgeon II Hammer Bone Gunlance II Gunlance Bone Hatchets II Dual Blades Bone Horn II Hunting Horn Bone Kukri II Sword and Shield Bone Lance II Lance Bone Shooter II Heavy Bowgun Bone Shotel II Long Sword Bone Staff II Insect Glaive Bone Strongarm II Charge Blade Foebeetle Kinsects Gullshad Kinsects Hunter's Bow II Bow Hunter's Rifle II Light Bowgun Intimidator Charm I Level 1 Ladytarge Kinsects Poison Charm I Level 1 Rigiprayne Kinsects Sonic Horn II Hunting Horn Vespoid Coil Waist Windchopper Kinsects","","","","Rarity 4","99","200 z","2,000 z"
,,,,,,,,,,,,,,
"","Monster Broth","A broth made from only the thickest of a monster’s juices. Quite…","","","","Astonishing Adaptability Optional Quests Flower of Eternal Rest Optional Quests Investigating the Frenzied Shadow Assignments Opposition Optional Quests Scorching the Earth Once More Assignments Sinister Sneer Optional Quests Smithy's Seal of Quality Optional Quests The Nerscylla's Hunting Grounds Optional Quests","Arachnoscale III Charge Blade Arkmaiden Kinsects Barina Vambraces α Arms Barina Vambraces β Arms Binder Mace Hammer Blood Cry III Long Sword Bonnetfille Kinsects Bullshroud Kinsects Butterfly Brachia α Arms Butterfly Crura α Legs Butterfly Elytra α Waist Butterfly Thorax α Chest Butterfly Vertex α Head Cancadaman Kinsects Carnage Beetle Kinsects Cluster Hammer III Hammer Debilitating Torpor Gunlance Destructive Torpor Great Sword Empresswing Kinsects Fiddlebrix Kinsects Gajau Boots α Legs Glass Royale Hunting Horn Grancathar Kinsects Immane Blade III Great Sword Intimidator Charm II Level 2 King Beetle Brachia α Arms King Beetle Crura α Legs King Beetle Elytra α Waist King Beetle Thorax α Chest King Beetle Vertex α Head Ladypavise Kinsects Lala Acanthopelm Sword and Shield Lala Aviculari Lance Lala Eumenophor Charge Blade Lala Harpactirs Dual Blades Lala Ornithocton Long Sword Lala Selenocosmi Switch Axe Lala Stromatopelm Insect Glaive Monarch Alucanid Kinsects Ner Bustergun III Heavy Bowgun Nerscylla Helm α Head Nerscylla Helm β Head Pseudocath Kinsects Scaly Sword III Sword and Shield Scylla Fist III Bow Shell Gunberd III Gunlance Stealth Glaive III Insect Glaive Vespoid Helm α Head Vespoid Helm β Head Whispervesp Kinsects","","","","Rarity 6","99","850 z","8,500 z"
"","Talioth Scale+","A high-quality Talioth scale. Built to survive fierce battles,…","","","","","Counter Charm I Level 1 Felyne Kunafa Suit α Body Fire Charm III Level 3 Kunafa Chaps α Legs Kunafa Headgear α Head Leaping Charm II Level 2 Talioth Vambraces α Arms Talioth Vambraces β Arms Thunder Charm III Level 3","","","","Rarity 6","99","425 z","4,250 z"
"","Wingdrake Hide+","A rare material carved from wingdrakes. It’s both tough and easy…","","","","","Blast Charm III Level 3 Chatacabra Greaves α Legs Chatacabra Greaves β Legs Death Stench Brain α Head Death Stench Grip α Arms Death Stench Muscle α Chest Felyne Deathgear Cowl α Body Felyne Deathgear Hood α Head Felyne Deathgear Scythe α Weapons Friendship Charm IV Level 4 Rathalos Greaves α Legs Rathalos Greaves β Legs","","","","Rarity 6","99","425 z","4,250 z"
"","Piragill Fin","A Piragill fin. Its sharp edge cuts into prey like a knife through…","","","","","Guard Charm I Level 1 Impact Charm II Level 2 Maintenance Charm I Level 1 Piragill Greaves Legs Water Charm II Level 2","","","","Rarity 4","99","100 z","1,000 z"
"","Piragill Fin+","A high-quality Piragill fin. A deep scarlet, it will slice flesh…","","","","","Breaker Charm I Level 1 Duna Wildgreaves α Legs Duna Wildgreaves β Legs Guard Charm II Level 2 Impact Charm III Level 3 Piragill Greaves α Legs Piragill Greaves β Legs Water Charm III Level 3","","","","Rarity 6","99","425 z","4,250 z"
"","Kranodath Skull","A Kranodath skull. Its incredible resilience makes it a great…","","","","","Bombardier Charm I Level 1 Fire Charm II Level 2 Fitness Charm I Level 1 Impact Charm I Level 1 Kranodath Mail Chest Stun Charm II Level 2","","","","Rarity 4","99","200 z","2,000 z"
"","Kranodath Skull+","An extra hard Kranodath skull. So tough that it won’t crack even…","","","","","Bombardier Charm II Level 2 Breaker Charm II Level 2 Gravios Coil α Waist Gravios Coil β Waist High Metal Greaves α Legs High Metal Helm α Head High Metal Mail α Chest Kranodath Mail α Chest Kranodath Mail β Chest Rompopolo Coil α Waist Rompopolo Coil β Waist Sheathe Charm II Level 2 Stun Charm III Level 3 Udra Mirebraces α Arms Udra Mirebraces β Arms","","","","Rarity 6","99","425 z","4,250 z"
"","Comaqchi Shell","A Comaqchi shell. Incredibly smooth with an attractive luster.…","","","","","Botany Charm III Level 3 Comaqchi Accessory Head Friendship Charm III Level 3 Ice Charm II Level 2 Sleep Charm II Level 2 Sonic Horn II Hunting Horn","","","","Rarity 4","99","200 z","2,000 z"
"","Comaqchi Carapace","A high-quality Comaqchi shell. Its glorious color bewitches all…","","","","","Comaqchi Accessory α Head Comaqchi Accessory β Head Dahaad Shardgreaves α Legs Dahaad Shardgreaves β Legs Nerscylla Coil α Waist Nerscylla Coil β Waist Sleep Charm III Level 3 Sonic Horn IV Hunting Horn","","","","Rarity 6","99","425 z","4,250 z"
"","Guardian Seikret Feather","A Guardian Seikret feather. Strong enough to deflect blades.…","","","","","Chainblade Charm I Level 1 G. Arkveld Vambraces Arms G. Seikret Coil Waist Grit Charm I Level 1 Marathon Charm I Level 1","","","","Rarity 4","99","250 z","2,500 z"
"","Guardian Seikret Feather+","A high-quality Guardian Seikret feather. Astoundingly lightweight,…","","","","","Bleed Charm III Level 3 Felyne Sild Hood α Head Felyne Sild Suit α Body G. Doshaguma Greaves α Legs G. Doshaguma Greaves β Legs G. Seikret Coil α Waist G. Seikret Coil β Waist Grit Charm II Level 2 Guard Charm III Level 3 Melahoa Branch α Arms Melahoa Folia α Waist Melahoa Hat α Head Melahoa Jacket α Chest Melahoa Roots α Legs Phoenix Charm I Level 1 Sild Coat α Chest Sild Hood α Head Xu Wu Coil α Waist Xu Wu Coil β Waist","","","","Rarity 6","99","650 z","6,500 z"
"","Congalala Pelt","The pink fur of a Congalala. The tufts of fluffy hair are an…","","","","","Assault Conga I Light Bowgun Botany Charm II Level 2 Conga Coil Waist Conga Greaves Legs Conga Mail Chest Felyne Conga Fete Body Golba Vandal I Switch Axe Ice Charm I Level 1 Mimiphyta α Head Pink Maracas I Dual Blades Power Stinger Heavy Bowgun Recovery Charm I Level 1 Sleep Charm I Level 1 War Bongo I Hunting Horn Wild Power Bow I Bow Windproof Charm I Level 1","","","","Rarity 4","99","280 z","2,800 z"
,,,,,,,,,,,,,,
"","Congalala Claw","The long claw of a Congalala. Large and sharp, it gouges anything…","","","","","Assault Conga I Light Bowgun Botany Charm I Level 1 Conga Helm Head Conga Mail Chest Felyne Conga Tambourine Weapons Golba Vandal I Switch Axe Mushroom Charm I Level 1 Pink Maracas I Dual Blades Power Stinger Heavy Bowgun Sleep Charm I Level 1 Tremor Charm I Level 1 War Bongo I Hunting Horn Wild Power Bow I Bow","","","","Rarity 4","99","420 z","4,200 z"
